region,category,subcategory,channel,revenue,units,profit
South,Furniture,Bedroom,In-Store,29804.74,119,2041.81
East,Clothing,Kids,Online,47331.57,143,18211.24
South,Sports,Gym,In-Store,80661.25,173,27119.73
East,Electronics,Phones,In-Store,6037.75,25,969.01
South,Clothing,Women,Online,7132.84,172,1120.53
West,Electronics,Accessories,Mobile,9357.12,162,665.43
North,Furniture,Office,Online,56179.47,159,15477.52
South,Electronics,Accessories,Online,78274.01,197,11833.92
East,Groceries,Bakery,Online,59445.36,174,10594.26
West,Beauty,Haircare,In-Store,2262.12,28,944.57
West,Electronics,Accessories,Mobile,6384.94,131,2710.45
East,Electronics,Tablets,Online,15799.86,162,1978.43
South,Sports,Team Sports,Mobile,81665.1,198,27921.07
North,Electronics,Accessories,In-Store,3013.76,136,1317.71
North,Furniture,Living Room,Mobile,27989.64,174,10581.54
East,Beauty,Skincare,In-Store,7984.86,29,2857.61
South,Sports,Outdoor,Online,14027.72,119,5249.98
North,Sports,Team Sports,Mobile,29610.88,104,1933.04
South,Beauty,Makeup,Mobile,20372.49,123,6883.69
South,Sports,Outdoor,Online,55058.88,166,11649.76
West,Beauty,Skincare,Online,10422.72,72,3860.45
South,Electronics,Laptops,In-Store,5609.7,30,1387.82
South,Beauty,Skincare,In-Store,4267.5,150,649.26
West,Furniture,Bedroom,Mobile,25805.94,58,2928.99
North,Beauty,Makeup,Online,19175.14,181,1629.16
South,Groceries,Dairy,Mobile,17992.44,159,2438.88
West,Sports,Gym,In-Store,7998.9,42,966.46
North,Beauty,Skincare,Online,12004.26,87,5340.16
West,Electronics,Accessories,Mobile,70549.49,187,9712.79
East,Electronics,Laptops,Online,5111.6,13,2225.93
North,Beauty,Skincare,Mobile,18625.33,67,5363.43
West,Furniture,Office,In-Store,35097.5,101,15477.19
West,Beauty,Haircare,Online,15668.8,35,4869.3
West,Sports,Gym,Mobile,4560.36,12,969.4
West,Furniture,Office,Mobile,3968.25,143,1572.4
West,Groceries,Produce,Mobile,15316.12,71,6093.91
South,Furniture,Bedroom,In-Store,35026.2,180,7174.33
East,Sports,Team Sports,In-Store,12232.2,174,3702.5
South,Clothing,Women,Mobile,14716.09,109,1653.32
East,Furniture,Bedroom,Online,6993.7,103,947.14
West,Sports,Team Sports,Mobile,22751.57,109,7349.1
East,Electronics,Tablets,Online,29837.6,76,10305.3
West,Groceries,Bakery,Online,54816.04,139,2970.97
North,Sports,Team Sports,In-Store,25422.97,71,7347.8
South,Groceries,Dairy,Online,10929,60,870.09
South,Groceries,Dairy,In-Store,44762.08,116,12206.55
South,Clothing,Women,Mobile,458.98,2,141.79
West,Clothing,Men,In-Store,55041,150,5372.84
South,Beauty,Haircare,Mobile,69893,185,30492.82
North,Electronics,Laptops,Online,4686.71,23,905.13
South,Electronics,Phones,Mobile,13692.16,38,3993.84
East,Sports,Team Sports,Online,12903.3,177,963.57
North,Sports,Outdoor,In-Store,21656.22,183,6484.9
North,Beauty,Skincare,In-Store,1913.12,22,605.81
East,Sports,Outdoor,Online,7163.94,111,992.63
West,Sports,Team Sports,In-Store,11000.24,152,2950.48
North,Clothing,Men,Mobile,12699.39,87,3211.45
East,Groceries,Produce,Online,42062.08,128,12134.73
East,Electronics,Tablets,In-Store,28977.3,90,11233.57
South,Beauty,Makeup,Online,5888.16,29,1442.07
South,Sports,Outdoor,In-Store,35124.8,80,6332.81
South,Groceries,Dairy,Online,3439.03,73,1223.96
West,Beauty,Haircare,In-Store,1352.98,61,544.68
East,Clothing,Kids,Online,9721.04,56,2345.73
South,Sports,Gym,In-Store,31360.83,111,7170.1
North,Sports,Gym,In-Store,18477.69,57,5496.17
South,Clothing,Women,Online,23043.63,47,1568.24
South,Groceries,Bakery,Online,48803.4,190,7427.01
West,Clothing,Men,Mobile,11609,25,1872.84
South,Sports,Outdoor,Online,40747.68,144,3938.53
South,Groceries,Dairy,Mobile,14924.12,146,1708.05
West,Clothing,Men,In-Store,17825.18,103,7947.84
East,Sports,Team Sports,In-Store,19677.6,120,7446.5
East,Clothing,Women,Online,4401.9,9,499.89
South,Beauty,Skincare,Online,820.08,68,271.8
South,Sports,Outdoor,Mobile,15577.2,36,5023.91
West,Electronics,Accessories,Mobile,67912.65,141,3428.27
South,Sports,Team Sports,Mobile,85901.42,173,19102.27
South,Beauty,Haircare,Online,21835.38,98,6543.93
South,Clothing,Women,Mobile,10348.4,41,1144.21
South,Clothing,Women,Online,25220.48,64,10101.32
West,Groceries,Bakery,Online,49845.87,153,21797.21
East,Furniture,Living Room,Mobile,32874.66,91,2960.62
South,Electronics,Accessories,Mobile,27658.2,124,9019.19
South,Electronics,Laptops,Mobile,17561,50,3890.69
South,Groceries,Dairy,In-Store,27344.1,58,7940.97
West,Electronics,Phones,Online,8705.76,24,2879.6
West,Clothing,Women,In-Store,69053.01,177,19663.75
East,Clothing,Men,Online,73177.74,171,31628.51
West,Sports,Team Sports,Mobile,25939.56,57,5706.53
South,Electronics,Accessories,Online,8869,100,2072.47
East,Beauty,Makeup,Mobile,25287.84,51,10233.64
West,Furniture,Bedroom,Online,36498.05,95,6678.95
East,Furniture,Bedroom,Online,47258.64,156,5144.95
East,Beauty,Skincare,Online,4593.06,38,1979.13
East,Furniture,Bedroom,In-Store,79266.96,178,25129.87
North,Groceries,Bakery,Mobile,51045.75,175,16461.52
West,Clothing,Men,In-Store,18715.62,66,3386.01
West,Electronics,Phones,Mobile,87087.42,189,11680.25
South,Groceries,Produce,Mobile,66834.32,184,16449.5
East,Beauty,Skincare,Mobile,7252.8,160,2158.1
West,Electronics,Tablets,Mobile,8831.76,84,3457.13
North,Electronics,Laptops,Online,30355.46,199,3928.39
West,Clothing,Men,In-Store,1342.56,48,381.76
East,Clothing,Men,In-Store,3140,10,888.67
North,Sports,Team Sports,Online,45356.96,176,10953.22
East,Sports,Gym,In-Store,44415,189,6234.88
North,Groceries,Dairy,Online,318.11,13,90.85
West,Sports,Team Sports,Mobile,13536.02,101,3752.9
South,Electronics,Accessories,Online,49085.68,161,9752.68
East,Beauty,Haircare,Online,33114.27,137,7398.98
South,Groceries,Bakery,Mobile,44331.04,104,18269.2
South,Clothing,Women,In-Store,60621.12,186,15846.05
South,Electronics,Laptops,Online,18567.4,127,7230.17
North,Beauty,Skincare,Mobile,657.4,4,287.1
East,Sports,Team Sports,Mobile,94816.8,195,42046.49
West,Clothing,Kids,Mobile,57669.43,127,25192.33
South,Clothing,Men,In-Store,39847.6,97,4930.97
East,Clothing,Women,In-Store,31381.01,103,13496.19
East,Electronics,Accessories,In-Store,2904.72,56,150.05
South,Clothing,Men,Mobile,11333.4,30,2122.48
West,Groceries,Dairy,Mobile,26335.26,126,6289.82
East,Electronics,Phones,Online,36209.28,192,14729.2
West,Sports,Gym,Online,25243.68,154,4492.89
South,Groceries,Bakery,Online,3971.4,30,672.77
North,Beauty,Haircare,Mobile,15696.4,40,6633.02
North,Sports,Team Sports,Mobile,61520.22,131,19885.61
North,Groceries,Bakery,Online,852.66,6,141.64
East,Groceries,Produce,Mobile,10443.15,45,1949.41
West,Groceries,Dairy,In-Store,4306.77,9,710.63
South,Furniture,Living Room,In-Store,8636.5,115,858.61
South,Sports,Team Sports,In-Store,60612.8,160,19639.06
South,Clothing,Women,Online,15698.65,187,3309.46
South,Furniture,Bedroom,Online,59765.64,132,17425.17
East,Groceries,Bakery,Online,28719.36,192,3032.74
East,Furniture,Living Room,Mobile,10591.5,23,2271.38
East,Furniture,Office,In-Store,18387.12,138,8199.44
West,Sports,Gym,In-Store,3259.48,28,1168.41
East,Groceries,Dairy,Mobile,2181.52,88,925.5
South,Groceries,Dairy,In-Store,5609.24,67,288.82
West,Clothing,Kids,Mobile,33430.5,95,3293
North,Beauty,Skincare,In-Store,46591.05,187,9362.33
South,Beauty,Makeup,Mobile,7653.6,40,1736.36
West,Electronics,Tablets,Mobile,599.82,2,60.81
South,Furniture,Living Room,Mobile,26753.08,116,10446.14
East,Electronics,Accessories,Online,37077.24,124,7359.13
North,Groceries,Produce,In-Store,23502.06,118,3157.3
East,Beauty,Skincare,Mobile,33687.64,161,4347.01
East,Groceries,Bakery,Mobile,23978.87,127,10368.13
West,Sports,Team Sports,In-Store,80690.76,174,9784.47
North,Furniture,Office,Online,8261.04,24,1588.43
South,Furniture,Bedroom,In-Store,1522.5,42,196.62
South,Clothing,Women,Mobile,55771.9,170,13624.57
West,Groceries,Produce,Online,21250.68,44,4084.83
West,Beauty,Haircare,Online,82572.21,189,16046.19
North,Electronics,Phones,Mobile,9620.64,108,4031.07
North,Electronics,Phones,Mobile,10409.07,97,4474.11
North,Clothing,Women,Online,8914.08,42,2175.99
South,Furniture,Living Room,Online,9071.2,29,2938.26
East,Furniture,Living Room,Online,53661.14,173,12123.82
West,Clothing,Kids,In-Store,898.92,3,249.72
South,Groceries,Bakery,Mobile,2350.94,94,473.63
North,Groceries,Dairy,In-Store,3615.1,10,1359.36
East,Clothing,Men,Online,34299.9,69,10814.47
East,Clothing,Men,Mobile,24818.36,151,1653.78
East,Furniture,Living Room,Online,24258.96,198,4318.3
South,Furniture,Living Room,Online,4999.5,75,486.79
North,Beauty,Skincare,Mobile,13738.4,80,1178.21
North,Groceries,Bakery,Online,1540.56,7,398.66
South,Beauty,Skincare,In-Store,32022.9,153,6041.76
East,Electronics,Phones,In-Store,1755.28,148,104.27
West,Furniture,Bedroom,In-Store,6483.12,42,869.36
South,Furniture,Bedroom,Mobile,7065.9,90,2317.24
South,Clothing,Kids,In-Store,834.03,27,303.63
West,Electronics,Laptops,In-Store,38731.84,112,3251.73
West,Furniture,Living Room,Mobile,62545.7,199,25366.79
South,Beauty,Haircare,Mobile,42060.06,162,16176.79
North,Groceries,Dairy,In-Store,27743.8,98,6950.85
East,Beauty,Skincare,Mobile,72548.21,161,22151.52
East,Furniture,Living Room,In-Store,30095.1,170,4090.84
South,Beauty,Makeup,In-Store,2988.62,73,861.73
West,Sports,Team Sports,In-Store,59092,170,3659.2
North,Electronics,Tablets,Online,3503.7,153,1021.34
South,Furniture,Living Room,Online,40846.08,192,15663.43
North,Beauty,Skincare,Mobile,6514.72,38,2857.59
East,Electronics,Phones,In-Store,24196.92,66,9560.3
East,Furniture,Bedroom,Online,35466.66,162,2559.3
East,Groceries,Bakery,In-Store,6290.5,46,484.04
West,Groceries,Dairy,Mobile,38377.81,109,17108.91
North,Clothing,Women,Mobile,6992.72,14,1045.09
East,Electronics,Phones,Online,15541.5,130,2506.62
East,Groceries,Dairy,In-Store,18438.83,43,3649.71
South,Furniture,Living Room,Mobile,34962.62,146,9663.52
South,Electronics,Accessories,Mobile,10356.48,124,1482.26
South,Sports,Gym,Online,52193.31,111,21895.01
North,Beauty,Makeup,In-Store,9843.48,148,2596.39
East,Beauty,Skincare,Mobile,8399.6,46,3321.49
South,Sports,Outdoor,Mobile,6594,25,614.79
North,Furniture,Office,Mobile,11715.96,178,3163.51
West,Clothing,Kids,Online,1742.13,9,151.45
West,Furniture,Office,Online,2432,5,138.83
East,Beauty,Makeup,Mobile,45099.58,103,12182.92
East,Electronics,Phones,Mobile,7048.54,17,2391.76
West,Electronics,Tablets,Online,2562.03,9,643.53
West,Furniture,Bedroom,Mobile,18166.32,184,5007.3
North,Sports,Gym,In-Store,39594.1,91,15922.61
West,Beauty,Makeup,Mobile,61904.52,172,10325.71
East,Furniture,Living Room,Mobile,19352.97,119,2101.79
West,Sports,Outdoor,Mobile,3003,14,374.24
West,Clothing,Women,Online,27.98,2,11
East,Clothing,Men,In-Store,12057.63,43,1645.73
North,Furniture,Office,Mobile,76454.56,182,8282.19
East,Sports,Gym,Online,3783,13,1098.49
East,Groceries,Bakery,Online,60089.7,139,22048.45
East,Beauty,Skincare,Online,21789.85,137,5833.47
West,Electronics,Accessories,Online,52769.66,137,8031.45
West,Clothing,Men,Online,8838.86,113,1863.86
South,Sports,Team Sports,In-Store,26110,125,10668.57
East,Groceries,Bakery,Mobile,18630.78,98,5152.26
East,Furniture,Bedroom,Mobile,27945.84,156,7706.8
North,Sports,Gym,Online,43721.64,108,14356.09
West,Beauty,Skincare,Mobile,49713.12,114,8741.95
East,Furniture,Bedroom,In-Store,3330.79,83,627.61
East,Electronics,Laptops,Mobile,14889.84,42,2347.03
North,Electronics,Laptops,Online,1653.36,12,230.31
North,Furniture,Office,Online,18127.2,56,6824.07
East,Sports,Team Sports,Online,33931.56,156,9001.66
North,Clothing,Women,Mobile,564.45,71,48.21
South,Clothing,Women,In-Store,530.42,22,187.81
East,Furniture,Bedroom,Mobile,5865,60,1061.65
West,Groceries,Produce,Online,37093.98,147,15738.71
East,Electronics,Tablets,Mobile,40912.4,115,16088.34
North,Groceries,Produce,Online,6145.75,61,1814.5
South,Groceries,Dairy,In-Store,3557.2,20,1399.05
North,Beauty,Skincare,In-Store,260.64,1,57.83
West,Sports,Outdoor,Mobile,1724.6,10,629.47
East,Clothing,Women,In-Store,54995.64,188,23284.26
East,Groceries,Dairy,In-Store,9895.08,26,1053
West,Clothing,Men,Mobile,24253.86,174,9487.27
North,Clothing,Women,In-Store,23007.66,169,1979.17
East,Sports,Outdoor,In-Store,6601.07,181,2107.37
East,Sports,Gym,In-Store,6620.55,69,2879.03
North,Sports,Gym,Mobile,12336,30,4552.94
South,Clothing,Women,Online,5809.32,108,1783.17
West,Beauty,Skincare,Online,27983.52,72,8867.43
East,Beauty,Makeup,In-Store,29922.75,99,3979.37
West,Furniture,Bedroom,Mobile,6858.5,55,771.76
South,Furniture,Bedroom,Mobile,26302.98,121,11785.23
West,Electronics,Phones,Mobile,73.24,4,13.02
West,Clothing,Men,In-Store,30337.92,138,9676.92
South,Clothing,Women,In-Store,22499.75,115,5078.8
North,Electronics,Laptops,Mobile,27796.65,115,12435.62
West,Groceries,Dairy,In-Store,7860,75,625.05
South,Clothing,Kids,In-Store,10100.76,82,1471.04
East,Clothing,Kids,Mobile,17308.74,159,7490.94
East,Furniture,Bedroom,Online,12345.25,25,5244.22
West,Sports,Team Sports,In-Store,5358.57,51,1274.23
East,Clothing,Kids,In-Store,40174.65,135,14129.67
West,Beauty,Makeup,Mobile,14494.2,116,2139.4
West,Clothing,Women,Mobile,31949.4,140,14066.8
South,Electronics,Accessories,Online,88815,186,13796.3
East,Beauty,Haircare,In-Store,15810,100,4364.51
North,Furniture,Living Room,Online,690.04,52,133.9
East,Furniture,Office,Online,1320,10,230.08
North,Furniture,Living Room,Mobile,13800.05,55,2457.14
North,Groceries,Bakery,Mobile,16859.25,127,3405.27
North,Clothing,Women,Mobile,31423.23,89,8556.27
South,Sports,Team Sports,Online,68829.08,179,19795.26
North,Beauty,Skincare,Online,1229.52,141,404.72
South,Beauty,Haircare,Mobile,31413,148,10277.23
North,Groceries,Produce,Mobile,2007.35,5,405.59
South,Clothing,Women,Online,681.84,36,179.57
East,Groceries,Produce,In-Store,28916.58,66,6455.09
South,Electronics,Accessories,In-Store,8674.28,37,3228.21
North,Furniture,Living Room,Mobile,49606.44,156,9778.08
North,Groceries,Dairy,Online,13003.26,31,4505.54
South,Groceries,Dairy,Online,72445.2,146,17364.94
East,Beauty,Haircare,Online,11122.08,24,2324.3
West,Electronics,Phones,Mobile,27589.77,117,8144.72
South,Clothing,Kids,Online,3016.31,11,410.76
North,Sports,Gym,Online,64216.92,159,8657.23
West,Clothing,Kids,Online,6453.44,32,2158.94
East,Groceries,Bakery,Mobile,3946.88,56,462.04
East,Sports,Gym,In-Store,1119.54,141,154.32
East,Furniture,Bedroom,Mobile,3820.5,54,820.23
East,Beauty,Haircare,Mobile,9419.88,69,3409.04
West,Beauty,Haircare,Mobile,5283.57,53,463.8
West,Electronics,Phones,Online,72386.86,182,28041.49
West,Groceries,Dairy,In-Store,33715,125,1916.14
South,Beauty,Makeup,In-Store,4188.24,36,1471.67
South,Sports,Team Sports,Mobile,33011.94,78,7158.37
East,Clothing,Men,Mobile,17187.21,171,2847.11
South,Sports,Outdoor,Mobile,35045.34,87,5850.82
West,Beauty,Haircare,Mobile,10476.9,126,2658.73
East,Sports,Outdoor,In-Store,751.63,11,275.72
East,Beauty,Skincare,In-Store,16163,35,4836.97
South,Beauty,Haircare,In-Store,3803.52,12,989.23
South,Beauty,Skincare,Online,3410.79,177,1309.83
East,Beauty,Makeup,Mobile,40932.45,195,6164.24
East,Groceries,Dairy,In-Store,33670.4,80,9908.16
East,Groceries,Produce,Mobile,39885.23,187,11021.77
South,Groceries,Produce,Mobile,31600.8,144,7985.29
North,Electronics,Accessories,Mobile,51168.9,191,3660.2
South,Beauty,Makeup,Online,25349.16,61,9075.07
East,Electronics,Accessories,In-Store,34734.38,82,5929.96
North,Furniture,Bedroom,Mobile,30222.93,87,13014.91
North,Clothing,Kids,Mobile,43652.7,90,18097.68
West,Electronics,Tablets,Online,58383,130,8853
North,Furniture,Living Room,In-Store,38809.65,129,7995.47
North,Groceries,Produce,Online,294.14,7,126.96
West,Clothing,Kids,Online,7895.58,154,2757.06
East,Clothing,Men,Mobile,4652.55,63,613.16
South,Groceries,Bakery,Mobile,39849.42,94,5298.21
South,Sports,Outdoor,Mobile,92109.06,186,34097.38
North,Sports,Gym,In-Store,9894.54,74,1751.59
South,Sports,Team Sports,Online,5404.7,49,570.82
East,Sports,Gym,Online,37802.16,108,9878.67
North,Groceries,Dairy,Mobile,7962.35,31,760.37
North,Sports,Outdoor,Online,84320.64,192,7405.5
North,Clothing,Men,In-Store,61512.22,154,26300.63
West,Groceries,Produce,In-Store,49294.9,170,5353.53
East,Clothing,Men,Online,23040.1,170,5300.25
West,Sports,Outdoor,Online,31438.8,71,10795.7
East,Furniture,Office,In-Store,71110.08,144,11686.59
West,Furniture,Office,Mobile,7665.87,183,1744.45
South,Beauty,Haircare,Online,36120.71,151,13539.58
West,Beauty,Haircare,In-Store,49283.64,126,10805.36
South,Groceries,Produce,Mobile,985.3,118,329.02
East,Groceries,Dairy,In-Store,15069.12,88,2146.71
South,Beauty,Skincare,Mobile,23153.37,127,3449.48
West,Groceries,Produce,Mobile,4828.25,89,751.43
East,Beauty,Skincare,Online,16960.43,37,1570.15
North,Electronics,Tablets,Mobile,20453.85,109,4441.7
South,Groceries,Dairy,Mobile,16877,50,1501.97
West,Beauty,Haircare,Online,34147.77,131,5285.86
West,Sports,Outdoor,Mobile,52288.16,118,16217.73
East,Furniture,Bedroom,Online,16156.8,160,2536.71
South,Groceries,Dairy,In-Store,8497.93,73,844.33
East,Sports,Gym,In-Store,3857.37,11,1579.67
West,Furniture,Office,Mobile,24599.7,162,9001.55
East,Clothing,Men,Mobile,444.2,2,167.77
West,Clothing,Kids,Online,3647,28,841.79
North,Electronics,Phones,Online,21344.4,72,2752.49
East,Beauty,Skincare,Online,29902.86,169,8098.7
South,Sports,Team Sports,Mobile,979.66,122,167.64
East,Clothing,Men,Online,2370.51,9,212.38
East,Furniture,Bedroom,In-Store,12780,80,4843.27
South,Groceries,Produce,Online,6821.96,29,798.4
East,Beauty,Skincare,Mobile,20335.56,42,7767.84
West,Beauty,Skincare,Online,11940.48,96,3318.79
West,Clothing,Men,Mobile,17296.5,130,7470.05
North,Clothing,Men,Mobile,15353.28,48,2270.07
West,Sports,Gym,In-Store,73290.2,155,7092.7
West,Groceries,Bakery,In-Store,3765.16,98,1213.52
South,Furniture,Bedroom,In-Store,6276.48,14,1131.19
South,Furniture,Bedroom,In-Store,30782.55,163,10881.81
East,Groceries,Bakery,Mobile,27360.6,62,6712.09
West,Clothing,Women,In-Store,48221.88,147,11647.56
South,Furniture,Bedroom,Online,18092.64,48,5434.49
West,Sports,Team Sports,In-Store,58205.13,159,18040.15
North,Clothing,Men,Mobile,580.84,2,229.24
West,Beauty,Makeup,Online,74778.24,174,7497.21
West,Groceries,Bakery,Online,23228.99,109,3149.5
North,Electronics,Tablets,In-Store,7174.44,108,2216.54
West,Clothing,Women,Mobile,28964.34,111,3115.27
West,Sports,Team Sports,In-Store,5941.4,122,2537.92
East,Electronics,Tablets,Online,2279.4,5,840.11
South,Groceries,Dairy,In-Store,28817.48,73,7479.57
North,Sports,Gym,Mobile,27480.1,97,5464.77
West,Beauty,Skincare,Online,5190.75,75,515.34
West,Electronics,Phones,In-Store,8492.16,64,1997.9
West,Electronics,Phones,Online,85766.31,189,26431.39
North,Sports,Gym,Online,41323.66,98,8402.25
North,Clothing,Men,Mobile,13972.64,88,5366.85
East,Beauty,Haircare,Online,22131,180,1914.39
North,Furniture,Bedroom,Online,12990.78,198,1932.53
South,Beauty,Makeup,In-Store,35228.27,77,13841.14
East,Beauty,Haircare,Online,3208.5,69,529.32
West,Sports,Outdoor,In-Store,23058.63,153,1648.09
East,Electronics,Tablets,Online,51736.02,199,15402.57
West,Electronics,Phones,Online,68513.4,170,20929.48
South,Beauty,Haircare,In-Store,45200.16,108,5681.24
South,Groceries,Produce,Mobile,7131.94,191,1411.98
West,Sports,Gym,In-Store,21786.48,72,3480.85
South,Beauty,Skincare,In-Store,10392.37,67,3367.89
North,Groceries,Dairy,Mobile,39717.62,194,17683.87
East,Sports,Gym,Online,964.89,71,344.35
North,Electronics,Laptops,Online,7638.3,23,3124.43
East,Beauty,Haircare,In-Store,37275.26,121,7276.36
North,Furniture,Bedroom,Online,29158.25,115,2570.84
West,Electronics,Laptops,Online,16529.67,81,4133.14
East,Sports,Gym,Online,44690.45,119,16162.88
West,Clothing,Men,Mobile,70656.3,143,22233.41
North,Beauty,Makeup,Mobile,8669.16,36,3642.33
East,Clothing,Men,Mobile,81801.07,169,19831.56
East,Furniture,Office,In-Store,6089.25,75,2132.77
East,Beauty,Skincare,Mobile,4964.51,19,988.11
North,Electronics,Accessories,Online,40476.25,125,5803.74
North,Furniture,Office,Mobile,2790,15,649.56
East,Groceries,Produce,In-Store,10432.84,44,3895.21
West,Beauty,Haircare,Mobile,36581.22,81,3653.33
North,Clothing,Women,Online,7955.4,60,3243.62
West,Sports,Team Sports,Mobile,29441.61,99,13073.3
North,Sports,Team Sports,Online,25843.2,160,1459.64
West,Clothing,Women,In-Store,2218.58,53,190.76
West,Furniture,Office,Mobile,4816.7,49,883.75
North,Electronics,Tablets,In-Store,19855.68,111,6090.01
East,Electronics,Phones,Online,19155.79,47,2569.32
East,Groceries,Dairy,Online,7155.8,20,2021.5
East,Furniture,Bedroom,In-Store,48639.8,110,21530.12
South,Beauty,Haircare,In-Store,25962.5,62,7611.32
East,Groceries,Produce,In-Store,32345.25,105,11110.27
West,Electronics,Accessories,In-Store,62636.15,197,16907.96
West,Sports,Team Sports,Online,474.3,2,121.28
South,Beauty,Makeup,In-Store,2822.82,26,946.19
South,Clothing,Men,In-Store,6041.2,40,1258.33
East,Electronics,Phones,In-Store,27014.88,138,10327.69
South,Electronics,Laptops,In-Store,2846.97,63,904.75
West,Beauty,Haircare,Mobile,5577.66,99,1753.61
North,Beauty,Makeup,Mobile,21980.4,120,3197.44
South,Electronics,Laptops,Online,1309.8,15,255.59
East,Furniture,Bedroom,Online,47284.9,130,9856.5
South,Electronics,Accessories,Mobile,4437.27,47,1099.77
North,Sports,Gym,In-Store,65335.57,181,14302.29
East,Electronics,Tablets,Online,9950.63,43,1804.72
North,Groceries,Bakery,Online,23556.6,60,8927.6
East,Electronics,Laptops,In-Store,32149.11,87,8839.92
West,Sports,Outdoor,Mobile,38510.4,142,4412.84
East,Beauty,Makeup,Online,133.88,1,51.73
West,Furniture,Office,Online,18216.66,77,3292.56
West,Electronics,Laptops,Mobile,2873.88,162,1107.07
North,Groceries,Dairy,In-Store,41660.82,138,15726.5
West,Beauty,Skincare,Online,13009.33,73,1916.32
West,Clothing,Kids,In-Store,43031.25,135,12920.24
East,Furniture,Living Room,Online,39543.84,168,2207.85
South,Groceries,Produce,Online,40595.88,159,10948.37
West,Clothing,Men,Online,4541,25,1202.17
North,Sports,Gym,Mobile,18997.65,105,8026.16
South,Beauty,Skincare,Online,9335,100,1421.16
North,Sports,Gym,Online,64073.01,129,14799.05
West,Groceries,Produce,Online,33162,120,5091.84
East,Clothing,Women,Online,36253.52,184,12859.81
North,Sports,Team Sports,Online,1443.64,193,293.68
West,Furniture,Office,Online,15115.21,137,2742.31
South,Furniture,Office,Online,2678.04,6,189.7
South,Sports,Team Sports,Mobile,17106.95,35,4666.19
West,Groceries,Dairy,In-Store,7119.2,44,2074.84
South,Electronics,Laptops,In-Store,26197.77,177,8783.75
South,Beauty,Makeup,In-Store,72922.62,146,15067.59
South,Furniture,Office,Mobile,40596.25,125,9483.42
South,Groceries,Bakery,In-Store,16239.28,82,2439.53
South,Sports,Gym,In-Store,14587.52,184,4123.31
East,Electronics,Accessories,Mobile,24488.86,157,9869.23
West,Beauty,Makeup,Mobile,66304.06,142,26481.24
South,Clothing,Kids,Mobile,10203.48,126,2035.78
North,Sports,Outdoor,In-Store,22800,96,9046.23
North,Groceries,Produce,Online,12320.88,26,2573.95
South,Groceries,Produce,Online,51915,150,13671.87
East,Electronics,Accessories,Online,10403.25,39,4006.78
West,Electronics,Tablets,Online,9484.92,36,3896.48
