age_group,gender,region,diet_type,bmi,sleep_hours,health_score
35-44,Female,Southwest,Vegetarian,22.66,5.54,62.16
18-24,Male,Northeast,Keto,20.89,8.34,32.91
55+,Female,Midwest,Vegetarian,39.85,5.54,74.65
55+,Female,Southeast,Keto,30.03,8.14,57.03
55+,Female,Northeast,Vegan,27.27,4.17,56.19
45-54,Female,West,Omnivore,29.33,7.11,72.05
25-34,Male,Northeast,Vegan,19.29,7.35,66.18
45-54,Male,Midwest,Vegetarian,16.7,7.66,94.63
55+,Female,West,Vegetarian,31.93,8.78,96.49
45-54,Female,West,Omnivore,22.63,5.27,93.71
45-54,Male,Midwest,Vegetarian,41.29,5.45,85.43
55+,Female,Southeast,Omnivore,27.58,8.03,63.54
18-24,Female,Midwest,Keto,35.94,7.45,92.25
18-24,Male,Southeast,Keto,39.56,5.67,99.96
55+,Female,West,Vegan,21.48,8.34,57.96
35-44,Female,Midwest,Vegetarian,29.39,6.32,91.76
55+,Female,Southwest,Vegetarian,22.98,4.32,48.59
45-54,Male,Southwest,Vegetarian,33.95,5.35,32.98
35-44,Female,Southwest,Omnivore,34.45,4.8,45.24
18-24,Male,Southeast,Omnivore,20.13,6.97,92.63
18-24,Male,Midwest,Vegetarian,30.99,7,62.59
55+,Female,Southwest,Keto,25.51,8.88,58.25
18-24,Male,Midwest,Vegan,33.71,7.17,51.07
18-24,Male,Midwest,Omnivore,22,7.4,94.75
35-44,Male,Midwest,Keto,34.94,5.53,59.73
45-54,Female,Northeast,Omnivore,23.14,5.81,83.47
18-24,Male,Southeast,Omnivore,36.14,5.08,35.21
35-44,Male,West,Keto,30.86,9.05,75.66
35-44,Male,Southeast,Omnivore,22.46,9.76,86.48
18-24,Female,West,Omnivore,18.11,9.63,89.52
25-34,Female,West,Keto,30.34,5.19,32.1
35-44,Male,Midwest,Omnivore,39.02,5.81,54.76
18-24,Male,Southeast,Vegetarian,17.63,8.92,53.24
45-54,Male,West,Vegan,16.73,7.98,31.52
25-34,Male,West,Vegetarian,31.38,8.88,96.38
18-24,Female,Midwest,Vegetarian,34.56,8.51,54.82
25-34,Male,Southwest,Omnivore,24.41,8.94,47.49
25-34,Female,Southwest,Vegan,30.19,8.8,66
35-44,Female,Northeast,Omnivore,37.52,9.75,91.31
55+,Female,Midwest,Vegan,40.51,5.62,62.31
25-34,Male,Northeast,Keto,22.87,9.65,49.34
55+,Male,Southwest,Omnivore,25.14,4.26,99.46
25-34,Male,West,Vegetarian,38.41,6.32,82.15
55+,Male,Southeast,Vegan,30.46,6.18,33.49
55+,Male,Southwest,Vegan,18.17,7.79,57.79
35-44,Female,Midwest,Keto,27.18,7.14,50.8
25-34,Female,West,Vegan,37.95,5.3,41.91
45-54,Female,Northeast,Vegetarian,20.43,4.25,96.8
25-34,Male,Southeast,Vegan,35.69,4.13,90.28
55+,Female,Southeast,Vegan,28.57,7.77,74.82
18-24,Female,Midwest,Omnivore,17.02,8.44,51.63
35-44,Female,Southeast,Vegan,17.59,9.98,60.48
35-44,Male,Northeast,Keto,33.5,8.63,68.5
55+,Female,Southwest,Vegan,28.84,9.12,68.58
25-34,Female,Northeast,Omnivore,30.94,8.94,68.71
45-54,Male,Midwest,Keto,24.93,8.31,31.25
55+,Female,Northeast,Vegetarian,20.05,8.13,44.27
45-54,Male,Southeast,Vegan,22.03,7.12,50.27
18-24,Male,West,Vegan,30.67,9.88,65.07
18-24,Female,Northeast,Vegan,34.89,7.92,82.53
55+,Female,Midwest,Vegan,37.08,8.04,55.75
45-54,Female,West,Vegan,19.96,6.42,79.34
45-54,Female,Northeast,Omnivore,24.81,7.47,82.31
35-44,Female,Northeast,Omnivore,30.9,6.16,59.08
25-34,Female,West,Vegetarian,16.85,7.05,80.15
45-54,Male,Southwest,Vegetarian,33.89,5.89,91.3
25-34,Female,Northeast,Vegan,17.84,5.25,89.45
55+,Male,Northeast,Omnivore,26.91,6.92,67.77
35-44,Female,Southeast,Omnivore,31.55,4.47,68.29
45-54,Female,West,Keto,41.9,5.91,75.08
25-34,Female,West,Omnivore,22.17,8.81,41.44
45-54,Female,Midwest,Vegetarian,28.36,8.55,38.24
25-34,Male,West,Vegan,21.56,7.01,64.73
55+,Female,West,Keto,41.71,7.3,34.17
35-44,Male,Southwest,Vegan,28.9,8.8,44.08
25-34,Male,Southwest,Keto,17.58,7.6,66.77
18-24,Male,Southwest,Keto,16.45,5.81,31.33
25-34,Female,Southwest,Keto,24.65,8.96,36.56
35-44,Female,Northeast,Vegetarian,18.08,4.2,41.57
45-54,Male,Midwest,Vegetarian,16.04,4.19,96.78
25-34,Female,Midwest,Omnivore,32.25,9.34,70.2
35-44,Female,Southwest,Omnivore,38.7,6.08,72.79
25-34,Male,Northeast,Vegan,26.78,8.42,69.89
35-44,Female,Midwest,Vegan,27.12,9.92,47.64
55+,Male,Midwest,Omnivore,34.85,8.42,72.21
45-54,Female,Northeast,Omnivore,16.2,6.37,70.78
35-44,Female,Midwest,Omnivore,31.45,7.99,98.37
35-44,Male,Northeast,Omnivore,17.28,4.46,87.12
55+,Female,Southwest,Keto,25.91,4.2,55.68
55+,Female,Southeast,Vegetarian,24.41,4.99,30.22
35-44,Female,Northeast,Omnivore,34,6.39,82.79
45-54,Female,Southwest,Vegan,33.06,8.14,61.38
45-54,Female,West,Keto,28.15,5.18,92.63
55+,Male,Southeast,Omnivore,19.4,6.93,73.61
45-54,Male,Southeast,Omnivore,27.11,6.93,95.57
55+,Female,West,Vegetarian,28.95,5.16,32.4
35-44,Male,Northeast,Vegan,37.86,4.94,73.32
55+,Male,Midwest,Vegan,18.17,9.44,32.55
18-24,Male,Northeast,Vegetarian,27.8,4.91,64.05
18-24,Male,Midwest,Omnivore,16.47,5.79,32.68
25-34,Female,Southwest,Vegan,16.58,4.3,83.73
25-34,Male,Southeast,Vegetarian,36.66,8.1,68.23
25-34,Male,West,Keto,38.74,8.19,34.74
25-34,Male,West,Keto,21.93,5.77,34.41
35-44,Male,West,Omnivore,26.06,8.03,87.27
55+,Female,Southwest,Vegan,32.43,4.59,35.79
25-34,Female,Northeast,Omnivore,28.43,4.75,49.36
35-44,Male,Northeast,Vegetarian,22.79,5.65,90.46
25-34,Male,Midwest,Vegan,16.05,5.96,48.15
18-24,Male,Southeast,Omnivore,17.07,7.68,79.81
35-44,Male,West,Keto,23.09,4.82,32.01
35-44,Female,West,Omnivore,41.76,8.22,96.92
35-44,Male,Southwest,Omnivore,29.24,8.6,57.38
25-34,Male,Midwest,Vegan,26.4,5.49,35.84
55+,Male,Southwest,Omnivore,32.08,9.51,70.96
35-44,Male,Northeast,Vegan,19.42,6.62,56.93
45-54,Female,West,Vegetarian,22.06,6.28,98.24
45-54,Female,Southeast,Vegan,25.6,4.33,76.78
55+,Male,Southeast,Keto,38.01,6.77,95.51
45-54,Male,Southeast,Vegan,33.33,9.77,44.1
18-24,Male,Midwest,Keto,32.53,8.99,53.79
35-44,Female,Southeast,Vegetarian,17.83,5.42,97.53
18-24,Male,Southwest,Vegetarian,37.62,7.85,66.23
55+,Female,Midwest,Keto,29.37,8.04,84.3
45-54,Female,Midwest,Vegan,28.93,5.96,55.84
55+,Male,Southwest,Vegetarian,19.76,6.64,39.89
35-44,Female,Southeast,Vegan,29.44,4.74,48.2
35-44,Female,West,Keto,25.01,7.47,67.18
25-34,Female,Southeast,Vegetarian,24.62,6.28,46.31
18-24,Female,Southwest,Keto,40.4,6.51,98.85
18-24,Male,Southeast,Keto,37.06,8.67,97.04
25-34,Female,West,Keto,29.78,4.19,46.63
25-34,Male,West,Vegan,28.42,4.98,36.13
45-54,Female,Southwest,Keto,18.24,7.62,57.71
55+,Female,West,Omnivore,29.93,7.95,71.2
55+,Female,Southeast,Vegan,32.49,5.36,49.98
18-24,Male,Southwest,Vegan,36.99,9.61,98.96
45-54,Male,Southwest,Vegan,22.35,5.29,64.39
35-44,Female,West,Vegetarian,31.96,7.66,44.14
55+,Male,West,Vegan,35.72,8.91,81.75
25-34,Female,West,Vegetarian,32.25,7.91,48.14
35-44,Male,Southwest,Omnivore,22.37,7.43,55.09
45-54,Female,Midwest,Vegan,35.32,6.64,54.46
35-44,Male,Northeast,Keto,22.81,9.38,54.06
25-34,Male,Southwest,Keto,29.51,5.39,34.22
35-44,Female,Midwest,Omnivore,24.99,8.3,40.62
35-44,Male,Southeast,Omnivore,34.06,9.97,43.36
25-34,Female,Northeast,Vegan,22.81,6.41,74.13
25-34,Male,Midwest,Keto,28.28,5.51,94.73
18-24,Male,Northeast,Vegetarian,19.48,5.64,73.99
25-34,Male,Southeast,Vegan,41.59,6.66,83.1
35-44,Female,Southwest,Vegetarian,20.19,7.58,63.79
45-54,Female,Southeast,Vegan,23.91,5.35,82.55
45-54,Female,Southwest,Vegan,34.65,4.19,44.27
25-34,Female,West,Vegetarian,27.31,9.55,56.34
25-34,Male,West,Vegan,39.77,6.59,34.37
18-24,Male,Southeast,Vegan,23.64,4.7,44.6
35-44,Male,Southeast,Keto,33.58,5.5,80.84
25-34,Female,Midwest,Vegan,41.56,9.91,55.43
25-34,Female,West,Vegetarian,33.91,7.91,41.8
55+,Male,West,Vegetarian,29.87,8.16,84.92
25-34,Female,Southeast,Keto,37.84,4.28,95.01
25-34,Female,Southeast,Vegetarian,27.82,8.96,88.04
35-44,Female,Northeast,Keto,39.49,9.12,69.06
35-44,Female,West,Vegetarian,25.43,9.1,45.39
45-54,Male,West,Vegan,35.46,8.46,58.03
55+,Female,Southwest,Vegetarian,26.9,4.1,34.86
18-24,Female,Southeast,Vegetarian,20.39,5.7,37.42
35-44,Female,Southwest,Vegan,25.17,6.99,53.65
25-34,Female,Northeast,Vegan,18.8,9.32,37.26
55+,Female,Northeast,Vegan,20.38,4.64,38.94
45-54,Female,Southwest,Keto,19.92,5.9,65.32
25-34,Female,Southwest,Omnivore,27.38,5.99,94.99
25-34,Male,West,Omnivore,34.82,5.61,46.53
45-54,Male,Midwest,Vegetarian,36.49,8.71,65.19
55+,Male,West,Keto,38.91,8.12,79.79
18-24,Male,Midwest,Keto,35.86,7.01,47.91
55+,Male,West,Vegetarian,38.6,8.67,94.55
55+,Female,West,Vegetarian,32.97,8.95,81.44
25-34,Female,Midwest,Vegetarian,26.67,6.54,95.38
25-34,Male,Southwest,Vegan,37.2,8.16,60.13
35-44,Female,Southeast,Vegan,40.04,9.99,55.43
55+,Female,Northeast,Vegetarian,19.72,4.53,36.69
25-34,Female,Southeast,Vegan,28.14,4.19,93.98
35-44,Female,Southwest,Keto,39.65,6.35,40.4
25-34,Male,Southeast,Vegan,38.15,8.79,68.59
55+,Female,Southeast,Vegan,38.41,7.85,50.98
55+,Male,Southeast,Vegetarian,31.01,8.04,43.52
45-54,Female,Midwest,Keto,19.55,7.79,72.29
35-44,Female,Southeast,Omnivore,28.63,7.79,86.83
35-44,Female,Midwest,Omnivore,26.24,7.75,58.32
25-34,Female,Northeast,Vegetarian,26.29,9.25,51.79
25-34,Female,Southeast,Keto,25.85,7.29,33.41
35-44,Male,West,Omnivore,35.39,6.35,86.18
45-54,Female,Southwest,Vegan,16,8.08,81.92
35-44,Female,Southwest,Vegetarian,40.26,6.81,68.9
18-24,Male,Northeast,Vegan,33.38,7.61,66.21
35-44,Male,Midwest,Omnivore,40.12,9.1,82.41
45-54,Female,Southeast,Vegetarian,33.45,5.39,50.6
35-44,Male,Midwest,Omnivore,27.9,4.28,73.9
45-54,Male,Midwest,Omnivore,36.62,5.05,80.28
25-34,Male,Southeast,Keto,23.68,6.68,95.86
18-24,Male,Northeast,Omnivore,23.73,5.11,74.88
25-34,Female,West,Omnivore,20.36,5.88,48.07
25-34,Male,Midwest,Omnivore,31.29,7.92,42.86
45-54,Female,Northeast,Keto,32.72,9.24,36.4
55+,Female,Northeast,Keto,40.75,4.71,38.17
25-34,Female,Midwest,Omnivore,34.93,9.08,58.06
18-24,Female,Southwest,Vegetarian,29.99,5.36,84.03
45-54,Female,Southwest,Omnivore,39.9,6.02,76.1
25-34,Male,Southwest,Vegetarian,19.86,6.21,79.02
25-34,Male,Southeast,Vegetarian,40.31,9.9,94.82
45-54,Female,Southeast,Keto,17.94,4.45,52.59
35-44,Male,Southeast,Vegetarian,30.64,9.11,76.71
35-44,Male,Northeast,Omnivore,29.05,4.93,53.24
45-54,Female,Southwest,Omnivore,36.12,5.66,87.66
18-24,Female,West,Vegan,36.11,7.75,42.16
55+,Female,Southwest,Vegetarian,23.02,5.35,51.14
18-24,Male,Northeast,Keto,24.66,4.85,72.47
55+,Female,Southeast,Vegan,17.48,9.98,42.62
45-54,Male,West,Keto,37.35,4.1,80.94
25-34,Male,West,Vegetarian,17.25,7.8,53.68
35-44,Male,Midwest,Omnivore,21.53,7.25,30.82
18-24,Female,Midwest,Vegan,32.09,7.51,54.33
45-54,Female,Southeast,Omnivore,40.88,8.76,32.92
55+,Female,Midwest,Vegetarian,22.23,7.67,82.72
25-34,Female,Midwest,Vegetarian,16.14,4.84,58.63
18-24,Male,Southwest,Vegan,37.82,5.96,57.56
55+,Male,Southeast,Vegetarian,36.56,9.46,92.77
25-34,Female,Southwest,Omnivore,24.94,6.85,98.86
18-24,Male,Northeast,Vegetarian,19.93,4.87,87.03
45-54,Female,West,Omnivore,18.82,9.98,65.98
45-54,Male,Southeast,Vegan,23.94,8.17,68.42
25-34,Female,Midwest,Omnivore,22.14,9.69,41.15
55+,Female,Midwest,Keto,27.19,7.05,33.78
35-44,Female,West,Omnivore,39.86,9.5,33.95
45-54,Female,West,Keto,37.73,9.22,97.16
55+,Male,Southeast,Vegetarian,33.1,5.17,34.83
18-24,Male,Southwest,Omnivore,23.46,8.51,60.62
55+,Female,Midwest,Vegan,16.93,9.84,47.11
55+,Female,Northeast,Vegan,22.31,5.3,57.66
45-54,Male,Southwest,Vegetarian,29.78,8.93,60.03
25-34,Female,West,Keto,20.69,4.2,33.96
25-34,Female,West,Keto,22,5.15,87.78
25-34,Male,West,Keto,26.7,7.02,33.28
18-24,Female,Northeast,Vegetarian,24.04,9.89,34.67
45-54,Female,Midwest,Keto,40.74,9.43,54.13
45-54,Female,Midwest,Vegan,33.86,4.68,46.35
25-34,Male,Southeast,Vegan,25.68,5.43,37.61
18-24,Male,Northeast,Vegan,18.86,4.48,43.99
18-24,Male,Southwest,Omnivore,21.2,9.27,82.14
45-54,Male,Southwest,Omnivore,37.44,8.33,97.89
35-44,Female,West,Omnivore,31.45,8.49,36.02
55+,Male,Northeast,Omnivore,17.02,6.91,36.08
25-34,Male,Southwest,Vegan,36.52,5.17,62.04
55+,Female,Southwest,Omnivore,25.63,7.72,71.61
25-34,Male,Northeast,Keto,16.11,7.03,47.53
25-34,Female,Midwest,Vegetarian,23.62,6.27,70.15
25-34,Female,Midwest,Vegetarian,32.77,8.4,57.41
18-24,Male,Southeast,Omnivore,38.24,8.8,53.37
18-24,Male,Midwest,Omnivore,18.38,5.46,43.13
35-44,Male,West,Vegan,31.77,4.14,90.76
18-24,Female,Northeast,Vegan,33.44,5.14,52.25
18-24,Female,Southwest,Vegan,25.47,5.9,94.87
55+,Female,West,Vegan,28.85,9.21,47.37
35-44,Female,Southwest,Vegan,32.85,5.4,74.97
55+,Female,Southeast,Vegan,24.2,7.52,90.21
35-44,Female,Northeast,Omnivore,39.78,6,78.08
35-44,Male,Midwest,Vegan,39.71,7.18,80.23
35-44,Female,Southwest,Keto,36.49,7.46,95.26
18-24,Male,West,Keto,28.25,5.91,52.34
45-54,Female,Midwest,Vegan,31.04,9.64,53.6
35-44,Male,Southwest,Keto,18.45,8.84,60.45
35-44,Female,Southwest,Omnivore,19.56,4.34,87.22
35-44,Female,Northeast,Vegan,18,5.2,82.11
25-34,Male,West,Omnivore,32.68,7.02,61.21
35-44,Female,Midwest,Vegan,16.37,5.64,54.9
35-44,Male,Northeast,Vegetarian,34.9,4.99,84.51
45-54,Female,Southeast,Keto,31.78,4.23,43.19
35-44,Female,Northeast,Keto,27.02,5.67,60.52
45-54,Male,Southeast,Vegan,16.9,6.94,69.23
18-24,Male,Southeast,Keto,32.34,6.77,94.53
35-44,Female,Midwest,Vegan,36.88,7.95,51.05
55+,Male,West,Omnivore,27.23,4.59,64.07
35-44,Male,Midwest,Keto,17.09,6.02,98.83
45-54,Female,Northeast,Vegan,18.31,6.65,88.44
35-44,Male,Midwest,Vegan,26.56,8.88,99.9
45-54,Male,West,Vegan,32.25,7.43,33.7
25-34,Male,Southwest,Keto,20.64,8.18,57.81
25-34,Female,Southeast,Vegetarian,20.37,4.21,78.08
55+,Female,Southeast,Vegan,23.32,6.73,70.76
55+,Male,Southeast,Omnivore,24.98,4.43,79.9
55+,Male,Southeast,Vegetarian,22.16,6.4,68.92
25-34,Male,Southwest,Keto,38.65,8.88,77.74
35-44,Female,Midwest,Keto,19.36,9.72,33.34
25-34,Female,Southeast,Omnivore,35.99,7.18,31.19
18-24,Male,West,Omnivore,30.53,5.97,77.35
35-44,Male,Midwest,Keto,36.32,6.93,38.77
45-54,Female,West,Omnivore,34.56,4.39,85.92
55+,Male,Midwest,Keto,36.73,7.48,73.15
55+,Female,West,Vegan,34.02,4.18,36.61
25-34,Male,Southeast,Keto,16.55,9.27,73.92
55+,Female,Northeast,Vegan,39,9.73,41.91
35-44,Male,Southeast,Vegetarian,21.09,6.53,98.56
45-54,Male,West,Omnivore,26.63,7.41,92.42
25-34,Female,Southwest,Vegan,22.71,6.77,89.73
25-34,Female,Midwest,Keto,28.8,7.12,57.01
45-54,Female,Northeast,Vegetarian,37.29,9.41,93.57
25-34,Female,Southeast,Omnivore,28.14,6.69,77.6
25-34,Male,Southwest,Vegetarian,27.75,4.16,40.28
18-24,Female,West,Omnivore,16.91,5.05,86.92
55+,Female,West,Keto,33.57,6.2,41.14
25-34,Female,Southeast,Keto,28.54,5.69,94.64
18-24,Female,Northeast,Omnivore,33.96,8.21,45.48
18-24,Male,Southwest,Omnivore,35.52,5.43,59.47
25-34,Male,Northeast,Omnivore,39.3,5.49,75.18
25-34,Male,West,Vegan,21,7.2,50.8
35-44,Female,Northeast,Keto,36.21,4.64,37.52
45-54,Male,Southeast,Omnivore,34.6,7,65.21
45-54,Male,Northeast,Vegan,19.08,8.56,71.98
45-54,Male,Midwest,Vegetarian,23.4,7.52,91.46
18-24,Male,Midwest,Keto,28.34,7.19,90.07
25-34,Male,Midwest,Vegetarian,21.75,5.1,73.57
35-44,Male,Midwest,Omnivore,30.01,6.91,51.26
45-54,Female,Southwest,Vegan,32.47,8.23,53
25-34,Female,Northeast,Omnivore,27.53,4.37,81.17
55+,Male,Southeast,Vegetarian,40.85,5.03,31.13
45-54,Male,West,Vegetarian,26.29,8.02,33.49
55+,Male,Southwest,Vegetarian,18.7,8.19,63.85
25-34,Female,Northeast,Keto,36.59,9.4,62.78
45-54,Male,Midwest,Vegetarian,32.39,8.41,83.24
55+,Male,West,Omnivore,30.48,8.33,37.98
45-54,Male,Southwest,Vegetarian,23.18,7.53,65.06
25-34,Male,Southeast,Keto,40.63,8.95,67.88
18-24,Male,Southeast,Vegetarian,31.6,7.94,87.02
18-24,Male,Southwest,Vegan,28.86,7.42,35.42
55+,Female,Southwest,Vegan,18.11,5.01,80.73
18-24,Male,Southeast,Omnivore,34.93,9.77,66.64
35-44,Female,Northeast,Omnivore,41.67,8.91,45.82
55+,Male,West,Keto,40.46,8.94,30.47
45-54,Female,Southwest,Vegetarian,31.01,9.46,48.19
45-54,Female,Midwest,Vegetarian,40.42,5.11,91.03
18-24,Male,Southwest,Omnivore,39.53,9.63,50.41
45-54,Female,Midwest,Vegetarian,26.24,8.53,87.91
25-34,Female,Southwest,Vegan,22.93,5.46,44.85
25-34,Male,Southeast,Omnivore,29.79,6.66,34.44
35-44,Male,West,Keto,27.7,8.16,98.6
35-44,Male,Southeast,Keto,29.93,8.42,61.36
45-54,Male,West,Keto,28.79,9.8,52.42
25-34,Male,West,Vegan,32.69,8.48,33.74
35-44,Female,Northeast,Keto,41.02,5.7,60.93
35-44,Male,Southwest,Vegetarian,27.18,9.03,32.37
18-24,Male,Midwest,Vegetarian,38.49,5.83,43.33
45-54,Male,Southwest,Vegan,16.6,9.33,78.22
18-24,Male,Southwest,Keto,30.95,6.6,36.85
18-24,Male,Southwest,Vegan,34.05,6.1,38.3
45-54,Female,Northeast,Omnivore,35,5.13,92.15
45-54,Male,Southwest,Vegan,41.81,4.62,46.85
25-34,Female,West,Vegan,18.61,4.18,53.58
35-44,Female,Midwest,Keto,17.77,9.21,41.4
45-54,Female,Northeast,Omnivore,21.1,4.47,31.66
35-44,Female,Northeast,Keto,28.75,4.74,77.79
18-24,Female,Southwest,Keto,41.93,4.02,40.33
55+,Female,Southeast,Vegetarian,41.41,6.7,39.71
45-54,Female,Southeast,Vegan,30.36,9.24,42.9
45-54,Male,Midwest,Vegan,16.46,4.78,48.3
25-34,Female,Southwest,Keto,40.56,8.01,53.2
35-44,Female,Northeast,Vegetarian,16.42,6.91,98.38
55+,Male,Midwest,Vegan,23.93,7.26,72.17
35-44,Female,Midwest,Omnivore,23.86,4.84,94.31
35-44,Female,Midwest,Keto,32.83,6.1,42.48
55+,Male,West,Vegetarian,18.05,8.68,96.86
35-44,Male,West,Keto,29.61,7.94,74.1
18-24,Female,Southwest,Keto,18.87,6.99,94.49
18-24,Female,Southeast,Omnivore,26.82,7.35,97.77
25-34,Female,Northeast,Keto,20.98,8.62,52.97
35-44,Male,Northeast,Vegan,27.61,4.87,66.61
18-24,Female,Southeast,Vegetarian,23.9,4.29,82.07
45-54,Male,Southeast,Omnivore,32.57,8.34,40.35
35-44,Female,Southeast,Vegetarian,28.7,7.85,54.41
18-24,Female,Northeast,Keto,17.94,9.63,45.48
35-44,Male,West,Vegan,18.62,8.74,83.96
35-44,Female,West,Vegetarian,38.92,8.99,58.95
18-24,Male,Midwest,Vegetarian,22.76,5.61,51.28
45-54,Female,Southwest,Vegetarian,40.89,5.88,60.68
25-34,Female,Southwest,Vegan,32.07,7.06,38.27
55+,Male,Midwest,Omnivore,35.49,5.9,96.98
35-44,Male,Southeast,Vegan,24.65,9.91,51.09
35-44,Male,Midwest,Vegan,23.19,8.44,47.96
45-54,Male,Northeast,Vegan,23.86,4.07,50.13
45-54,Male,West,Vegan,28.46,8.73,38.32
45-54,Male,West,Vegetarian,18.15,7.67,82.16
55+,Female,Southwest,Keto,23.97,8.28,32.17
55+,Male,Southwest,Omnivore,19.39,9.28,33.78
25-34,Male,West,Omnivore,16.53,9,81.64
25-34,Male,Midwest,Vegan,36.78,5.86,30.06
35-44,Male,Northeast,Vegetarian,33.89,6.76,77.48
25-34,Male,Southwest,Omnivore,39.26,6.91,45.38
18-24,Female,West,Keto,34.72,7.03,46.26
25-34,Male,Southeast,Vegetarian,19.25,4.94,58.34
18-24,Female,Southeast,Keto,28.76,9.65,58.33
35-44,Male,Southwest,Keto,23.74,5.46,32.53
55+,Female,West,Keto,35.66,8.94,99.4
18-24,Female,Midwest,Keto,38.99,8.41,50.29
18-24,Female,West,Vegetarian,25.03,6.51,80.03
45-54,Male,West,Keto,39.27,5.65,42.1
35-44,Female,Midwest,Omnivore,17.79,9.77,68.28
35-44,Female,Northeast,Keto,18.39,6.92,95.66
45-54,Female,West,Omnivore,22.05,6.23,68.5
45-54,Male,Northeast,Omnivore,20.07,9.46,42.63
18-24,Male,Midwest,Vegan,33.22,8.12,32.91
55+,Female,Northeast,Omnivore,18.04,8.11,47.96
18-24,Female,Northeast,Vegetarian,36.34,8.86,85.33
55+,Female,Northeast,Vegetarian,37.78,8.77,60.94
45-54,Male,Northeast,Vegan,33.56,9.58,65.22
25-34,Female,Southwest,Omnivore,31.29,8.54,81.38
25-34,Male,Midwest,Vegetarian,19.78,7.72,33.72
25-34,Female,Northeast,Vegetarian,35.54,9.47,32.08
45-54,Male,Midwest,Vegetarian,33.28,4.35,93.61
45-54,Male,Midwest,Omnivore,29.94,4.47,35.14
18-24,Female,Northeast,Omnivore,23.83,5.27,56.86
35-44,Female,West,Omnivore,40.8,8.73,98.16
55+,Male,West,Keto,30.83,8.6,72.68
35-44,Female,Northeast,Vegetarian,24.03,6.48,64.19
45-54,Male,Southeast,Keto,33.45,5.08,67.92
18-24,Male,Northeast,Vegetarian,25.48,6.81,68.32
45-54,Male,Northeast,Vegan,32.13,4.74,51.54
35-44,Female,Midwest,Vegetarian,30.85,8.79,41.59
25-34,Female,Southwest,Vegetarian,25.93,8.27,55.36
18-24,Female,Northeast,Vegetarian,38.77,8.65,50.91
45-54,Male,Midwest,Vegetarian,22.61,6.51,38.59
55+,Male,Southwest,Keto,26.11,7.67,63.27
55+,Female,Northeast,Vegan,16.63,5.47,65.33
25-34,Female,West,Vegetarian,27.12,8.52,59.61
45-54,Male,Midwest,Vegetarian,34.62,6.3,64
45-54,Female,Southwest,Vegan,20.67,8.24,89.9
55+,Female,West,Keto,31.82,6.5,72.36
45-54,Male,Southwest,Omnivore,16.42,7.38,68.68
35-44,Male,Southeast,Vegan,20.17,9.89,87.3
18-24,Male,Midwest,Omnivore,27.9,8.47,47.88
18-24,Female,Southeast,Vegetarian,19.2,9.2,77.79
18-24,Female,Northeast,Omnivore,22.77,9.06,92.38
45-54,Male,Northeast,Omnivore,24.72,5.01,93.63
25-34,Male,West,Vegan,28.8,6.94,55.65
18-24,Female,West,Vegan,29.17,9.65,64.22
55+,Female,Northeast,Omnivore,19.29,4.14,62.69
55+,Female,Southwest,Vegan,31.21,8.95,57.99
55+,Male,West,Vegetarian,34.37,9.2,84.35
35-44,Female,Southwest,Keto,39.57,5.51,31.67
35-44,Female,Northeast,Keto,25.68,5.86,92.57
55+,Male,Southeast,Keto,35.11,7.79,88.72
