year,month,index_name,country,close,monthly_return_pct,volatility_pct,market_phase
2018,Jun,S&P 500,USA,2280.75,-0.64,3.76,Trade War Jitters
2018,Jul,S&P 500,USA,2311.53,0.69,2.92,Trade War Jitters
2018,Aug,S&P 500,USA,2266.88,0.62,3.78,Trade War Jitters
2018,Sep,S&P 500,USA,2211.25,-0.16,3.35,Trade War Jitters
2018,Oct,S&P 500,USA,2217.56,-0.11,3.77,Trade War Jitters
2018,Nov,S&P 500,USA,2189.92,-0.35,1.66,Trade War Jitters
2018,Dec,S&P 500,USA,2197.33,-0.35,4.17,Trade War Jitters
2019,Jan,S&P 500,USA,2287.36,-0.7,2.72,Bull Market
2019,Feb,S&P 500,USA,2377.08,0.9,1.94,Bull Market
2019,Mar,S&P 500,USA,2382.18,0.87,2.29,Bull Market
2019,Apr,S&P 500,USA,2430.85,0.57,4.1,Bull Market
2019,May,S&P 500,USA,2435.97,0.59,4.33,Bull Market
2019,Jun,S&P 500,USA,2420.35,0.43,1.89,Bull Market
2019,Jul,S&P 500,USA,2515.29,-0.72,3.41,Bull Market
2019,Aug,S&P 500,USA,2541.45,0.02,3.66,Bull Market
2019,Sep,S&P 500,USA,2571.82,0.43,3.91,Bull Market
2019,Oct,S&P 500,USA,2624.22,0.38,3.2,Bull Market
2019,Nov,S&P 500,USA,2672.79,-0.53,1.58,Bull Market
2019,Dec,S&P 500,USA,2764.03,0.71,3.03,Bull Market
2020,Jan,S&P 500,USA,2850.48,0.12,8.84,COVID Crash & Recovery
2020,Feb,S&P 500,USA,2815.8,0.72,9.11,COVID Crash & Recovery
2020,Mar,S&P 500,USA,2904.06,0.21,8.8,COVID Crash & Recovery
2020,Apr,S&P 500,USA,2899.71,0.24,9.64,COVID Crash & Recovery
2020,May,S&P 500,USA,2849.14,-0.18,8.2,COVID Crash & Recovery
2020,Jun,S&P 500,USA,2929.8,-0.38,8.69,COVID Crash & Recovery
2020,Jul,S&P 500,USA,2909.82,-0.54,10.95,COVID Crash & Recovery
2020,Aug,S&P 500,USA,2967.57,0.46,9.73,COVID Crash & Recovery
2020,Sep,S&P 500,USA,3000.4,0.32,9.44,COVID Crash & Recovery
2020,Oct,S&P 500,USA,2975.88,0.08,8.85,COVID Crash & Recovery
2020,Nov,S&P 500,USA,2930.43,0.71,8.93,COVID Crash & Recovery
2020,Dec,S&P 500,USA,2996.02,-0.3,9.91,COVID Crash & Recovery
2021,Jan,S&P 500,USA,2971.36,-0.89,4.12,Post-COVID Bull
2021,Feb,S&P 500,USA,3112.08,-0.62,4.23,Post-COVID Bull
2021,Mar,S&P 500,USA,3249.6,0.39,2.11,Post-COVID Bull
2021,Apr,S&P 500,USA,3279.27,0.62,3.49,Post-COVID Bull
2021,May,S&P 500,USA,3320.06,0.64,1.89,Post-COVID Bull
2021,Jun,S&P 500,USA,3384.47,-0.48,2.3,Post-COVID Bull
2021,Jul,S&P 500,USA,3369.78,-0.24,1.47,Post-COVID Bull
2021,Aug,S&P 500,USA,3378.81,0.04,1.27,Post-COVID Bull
2021,Sep,S&P 500,USA,3528.19,-0.18,2.56,Post-COVID Bull
2021,Oct,S&P 500,USA,3640.21,-0.44,1.68,Post-COVID Bull
2021,Nov,S&P 500,USA,3668.47,0.83,3.19,Post-COVID Bull
2021,Dec,S&P 500,USA,3669.17,-0.6,2.58,Post-COVID Bull
2022,Jan,S&P 500,USA,3632.65,0.6,2.19,Rate Hike Bear
2022,Feb,S&P 500,USA,3651.25,0.42,3.26,Rate Hike Bear
2022,Mar,S&P 500,USA,3694.35,0.64,3.94,Rate Hike Bear
2022,Apr,S&P 500,USA,3553.32,0.83,1.96,Rate Hike Bear
2022,May,S&P 500,USA,3569.41,0.41,1.8,Rate Hike Bear
2022,Jun,S&P 500,USA,3612.41,0.86,1.88,Rate Hike Bear
2022,Jul,S&P 500,USA,3610.56,0.65,4.11,Rate Hike Bear
2022,Aug,S&P 500,USA,3591.89,-0.65,4.07,Rate Hike Bear
2022,Sep,S&P 500,USA,3480.38,0.03,2.93,Rate Hike Bear
2022,Oct,S&P 500,USA,3465.68,0.42,1.78,Rate Hike Bear
2022,Nov,S&P 500,USA,3472.75,-0.56,2.62,Rate Hike Bear
2022,Dec,S&P 500,USA,3484.93,0.33,2.38,Rate Hike Bear
2023,Jan,S&P 500,USA,3632.99,0.16,2.36,AI Bull
2023,Feb,S&P 500,USA,3783.44,0.63,2.47,AI Bull
2023,Mar,S&P 500,USA,3785.44,0.63,4.16,AI Bull
2023,Apr,S&P 500,USA,3902.63,-0.14,2.01,AI Bull
2023,May,S&P 500,USA,3996.91,0.45,3.24,AI Bull
2023,Jun,S&P 500,USA,4030.36,-0.48,4.15,AI Bull
2023,Jul,S&P 500,USA,4071.66,-0.33,2.94,AI Bull
2023,Aug,S&P 500,USA,4034.44,0.06,2.32,AI Bull
2023,Sep,S&P 500,USA,4179.43,0.62,3.98,AI Bull
2023,Oct,S&P 500,USA,4260.61,-0.96,3.17,AI Bull
2023,Nov,S&P 500,USA,4303.02,-0.18,2.57,AI Bull
2023,Dec,S&P 500,USA,4474.1,-0.09,1.67,AI Bull
2024,Jan,S&P 500,USA,4633.17,-0.63,1.89,AI Bull
2024,Feb,S&P 500,USA,4727.59,0.59,3.38,AI Bull
2024,Mar,S&P 500,USA,4822.29,-0.59,4.43,AI Bull
2024,Apr,S&P 500,USA,4772.84,0.64,2.63,AI Bull
2024,May,S&P 500,USA,4889.73,-0.3,2.24,AI Bull
2024,Jun,S&P 500,USA,4901.88,-0.81,4.02,AI Bull
2024,Jul,S&P 500,USA,4947.45,0.76,2.39,AI Bull
2024,Aug,S&P 500,USA,4923.77,0.42,3.45,AI Bull
2024,Sep,S&P 500,USA,5003.45,0.29,2.89,AI Bull
2024,Oct,S&P 500,USA,5125.15,-0.01,3.95,AI Bull
2024,Nov,S&P 500,USA,5344.5,0.59,3.72,AI Bull
2024,Dec,S&P 500,USA,5428.1,0.52,2.82,AI Bull
2000,Jan,NASDAQ,USA,2664.48,-0.28,1.66,Dot-com Peak
2000,Feb,NASDAQ,USA,2617.66,0.6,2.82,Dot-com Peak
2000,Mar,NASDAQ,USA,2568.61,0.7,2.89,Dot-com Peak
2000,Apr,NASDAQ,USA,2572.5,-0.02,1.69,Dot-com Peak
2000,May,NASDAQ,USA,2510.8,0.53,4.08,Dot-com Peak
2000,Jun,NASDAQ,USA,2447.36,0.04,1.66,Dot-com Peak
2000,Jul,NASDAQ,USA,2389.12,0.41,3.39,Dot-com Peak
2000,Aug,NASDAQ,USA,2348.32,0.34,1.72,Dot-com Peak
2000,Sep,NASDAQ,USA,2324.4,-0.3,3.86,Dot-com Peak
2000,Oct,NASDAQ,USA,2390.95,-0.84,4.57,Dot-com Peak
2000,Nov,NASDAQ,USA,2435.29,0.34,3.58,Dot-com Peak
2000,Dec,NASDAQ,USA,2391.86,-0.97,4.4,Dot-com Peak
2001,Jan,NASDAQ,USA,2365.96,0.2,1.5,Dot-com Crash
2001,Feb,NASDAQ,USA,2279.98,-0.31,3.89,Dot-com Crash
2001,Mar,NASDAQ,USA,2192.73,-0.07,2.17,Dot-com Crash
2001,Apr,NASDAQ,USA,2129.56,-0.15,1.51,Dot-com Crash
2001,May,NASDAQ,USA,2108.75,0.1,4.06,Dot-com Crash
2001,Jun,NASDAQ,USA,2091.18,-0.36,2.01,Dot-com Crash
2001,Jul,NASDAQ,USA,2083.61,-0.23,3.68,Dot-com Crash
2001,Aug,NASDAQ,USA,2097.13,-0.35,2.7,Dot-com Crash
2001,Sep,NASDAQ,USA,2018.07,0.44,3.68,Dot-com Crash
2001,Oct,NASDAQ,USA,1982.53,0.63,2.11,Dot-com Crash
2001,Nov,NASDAQ,USA,1978.47,0.87,3.16,Dot-com Crash
2001,Dec,NASDAQ,USA,1998.41,0.2,3.49,Dot-com Crash
2002,Jan,NASDAQ,USA,2002.66,-0.07,2.3,Dot-com Crash
2002,Feb,NASDAQ,USA,1931.78,0.31,3.71,Dot-com Crash
2002,Mar,NASDAQ,USA,1911.02,0.78,2.87,Dot-com Crash
2002,Apr,NASDAQ,USA,1879.49,-0.89,4.5,Dot-com Crash
2002,May,NASDAQ,USA,1867.47,-0.31,3.46,Dot-com Crash
2002,Jun,NASDAQ,USA,1806.85,-0.51,3.92,Dot-com Crash
2002,Jul,NASDAQ,USA,1767.39,0.81,2.97,Dot-com Crash
2002,Aug,NASDAQ,USA,1771.54,-0.72,2.43,Dot-com Crash
2002,Sep,NASDAQ,USA,1697.27,0.64,4.07,Dot-com Crash
2002,Oct,NASDAQ,USA,1691.26,-0.84,3.1,Dot-com Crash
2002,Nov,NASDAQ,USA,1634.99,0.48,4.04,Dot-com Crash
2002,Dec,NASDAQ,USA,1604.67,-0.75,2.1,Dot-com Crash
2003,Jan,NASDAQ,USA,1601.87,-0.78,1.99,Recovery
2003,Feb,NASDAQ,USA,1620.5,-0.76,3.15,Recovery
2003,Mar,NASDAQ,USA,1685.96,0.97,2.61,Recovery
2003,Apr,NASDAQ,USA,1735.06,0.83,3.74,Recovery
2003,May,NASDAQ,USA,1727.94,-0.19,1.16,Recovery
2003,Jun,NASDAQ,USA,1746.41,-0.48,1.82,Recovery
2003,Jul,NASDAQ,USA,1779.71,-0.69,2.07,Recovery
2003,Aug,NASDAQ,USA,1786.67,0.69,4.42,Recovery
2003,Sep,NASDAQ,USA,1797,-0.02,2.57,Recovery
2003,Oct,NASDAQ,USA,1847.55,0.01,3.09,Recovery
2003,Nov,NASDAQ,USA,1892.81,0.16,3.98,Recovery
2003,Dec,NASDAQ,USA,1889.27,0.17,1.17,Recovery
2004,Jan,NASDAQ,USA,1924.21,-0.85,3.34,Bull Market
2004,Feb,NASDAQ,USA,1934.93,-0.11,2.2,Bull Market
2004,Mar,NASDAQ,USA,1911.94,0.61,1.82,Bull Market
2004,Apr,NASDAQ,USA,1907.47,0.39,1.49,Bull Market
2004,May,NASDAQ,USA,1904.02,-0.83,2.06,Bull Market
2004,Jun,NASDAQ,USA,1941.52,-0.74,3.53,Bull Market
2004,Jul,NASDAQ,USA,1906.28,-0.64,2.91,Bull Market
2004,Aug,NASDAQ,USA,1930.82,-0.19,3.97,Bull Market
2004,Sep,NASDAQ,USA,1986.99,0.69,3.67,Bull Market
2004,Oct,NASDAQ,USA,2054.9,-0.61,1.79,Bull Market
2004,Nov,NASDAQ,USA,2100.18,0.53,3.4,Bull Market
2004,Dec,NASDAQ,USA,2140.9,-0.09,2.89,Bull Market
2005,Jan,NASDAQ,USA,2203.99,-0.53,2.61,Bull Market
2005,Feb,NASDAQ,USA,2186.26,-0.24,4.11,Bull Market
2005,Mar,NASDAQ,USA,2172.37,-0.45,3.13,Bull Market
2005,Apr,NASDAQ,USA,2137.55,0.32,1.68,Bull Market
2005,May,NASDAQ,USA,2179.83,0.74,3.96,Bull Market
2005,Jun,NASDAQ,USA,2142.64,-0.37,3.5,Bull Market
2005,Jul,NASDAQ,USA,2174.23,-0.82,4.17,Bull Market
2005,Aug,NASDAQ,USA,2243.24,0.99,1.92,Bull Market
2005,Sep,NASDAQ,USA,2194.61,-0.73,3.37,Bull Market
2005,Oct,NASDAQ,USA,2201.82,-0.22,2.15,Bull Market
2005,Nov,NASDAQ,USA,2161.56,-0.72,3.75,Bull Market
2005,Dec,NASDAQ,USA,2110.43,-0.09,1.12,Bull Market
2006,Jan,NASDAQ,USA,2125.78,-0.12,1.89,Bull Market
2006,Feb,NASDAQ,USA,2167.45,-0.95,3.41,Bull Market
2006,Mar,NASDAQ,USA,2233.87,0.56,2.14,Bull Market
2006,Apr,NASDAQ,USA,2253.37,0.88,2.79,Bull Market
2006,May,NASDAQ,USA,2294.68,-0.57,3.3,Bull Market
