school_type,grade_level,subject,gender,score,study_hours,pass_rate
Charter,Grade 6,Computer Science,Female,41.17,3.38,0.404
Charter,Grade 8,Art,Female,41.07,6.58,0.348
Charter,Grade 10,Math,Male,92.6,0.86,0.903
Public,Grade 8,Computer Science,Male,54.41,7.95,0.536
Public,Grade 11,PE,Male,77.44,6.2,0.73
Public,Grade 9,Math,Male,92.5,1.49,0.958
Charter,Grade 10,English,Male,87.63,6.66,0.873
Charter,Grade 9,Science,Female,69.04,0.87,0.775
Public,Grade 7,PE,Male,40.01,3.02,0.432
Charter,Grade 11,Computer Science,Female,68.88,7.4,0.621
Private,Grade 6,History,Male,49.09,5.21,0.443
Public,Grade 7,Math,Female,52.53,4.51,0.526
Charter,Grade 10,PE,Male,55.16,7.16,0.453
Charter,Grade 7,Music,Male,60.21,7.83,0.661
Public,Grade 11,Music,Female,93,7.21,0.937
Charter,Grade 7,Math,Female,49.42,3.19,0.524
Public,Grade 6,English,Male,98.27,6.12,0.957
Public,Grade 8,Computer Science,Female,76.86,6.27,0.796
Charter,Grade 8,Computer Science,Male,92.8,3.61,0.868
Public,Grade 7,Music,Male,41.97,2.61,0.417
Public,Grade 6,Music,Female,91.67,4.28,0.945
Public,Grade 10,English,Female,46.2,0.53,0.417
Charter,Grade 7,History,Male,42.13,3.54,0.362
Private,Grade 10,Math,Female,97.75,6.39,1
Charter,Grade 8,Music,Male,96.08,0.53,0.997
Public,Grade 9,Computer Science,Female,98.24,3.1,1
Charter,Grade 8,Computer Science,Male,54.34,2.33,0.642
Public,Grade 7,Science,Female,45.93,7.67,0.522
Charter,Grade 9,Music,Male,68.99,5.52,0.679
Public,Grade 9,Music,Male,49.01,2.33,0.564
Public,Grade 10,Science,Male,85.76,3.97,0.802
Private,Grade 7,English,Female,57.28,7.55,0.665
Charter,Grade 11,Music,Male,83.64,5,0.931
Public,Grade 8,Art,Male,49.24,5.98,0.481
Private,Grade 9,English,Male,58.24,3.12,0.563
Charter,Grade 7,English,Male,46.47,2.66,0.365
Private,Grade 11,English,Male,65.99,6.2,0.673
Private,Grade 7,Math,Male,53.31,7.7,0.434
Charter,Grade 10,Art,Male,61.64,6.25,0.602
Private,Grade 9,Math,Male,98.44,4.4,0.905
Public,Grade 11,English,Female,62.99,3.65,0.707
Charter,Grade 7,Art,Female,54.67,4.94,0.629
Private,Grade 8,History,Female,96.65,2.33,0.955
Private,Grade 11,Art,Female,50.36,5.72,0.412
Private,Grade 7,English,Male,86.82,3.39,0.951
Private,Grade 11,English,Female,42.52,1.56,0.506
Private,Grade 10,Art,Female,80.64,6.76,0.88
Public,Grade 7,Science,Female,91.83,6.12,0.845
Public,Grade 6,Science,Female,70.65,3.09,0.707
Charter,Grade 6,History,Male,42.93,5.1,0.455
Private,Grade 6,Music,Female,89.81,3.46,0.994
Public,Grade 11,PE,Male,51.41,4.64,0.531
Private,Grade 11,Math,Female,73.79,2.84,0.656
Public,Grade 9,PE,Female,94.06,5.35,0.958
Public,Grade 10,Computer Science,Female,50.93,4.55,0.524
Private,Grade 6,Music,Female,43.8,6.98,0.359
Private,Grade 6,History,Female,97.79,3.25,1
Public,Grade 8,History,Female,90.34,4.96,0.933
Private,Grade 7,Computer Science,Female,50.23,1.01,0.489
Charter,Grade 11,History,Male,92.25,4.63,0.889
Private,Grade 8,Science,Male,86.22,5.91,0.827
Public,Grade 7,Math,Male,60.75,7.06,0.58
Charter,Grade 6,Science,Male,85.17,0.72,0.84
Public,Grade 6,Science,Male,63.75,2.77,0.546
Public,Grade 9,PE,Male,53.53,6.48,0.631
Private,Grade 6,Art,Male,96.23,7.31,0.872
Charter,Grade 11,Computer Science,Female,77.81,6.16,0.692
Public,Grade 11,Science,Male,65.98,6.45,0.699
Public,Grade 8,History,Male,89.11,2.27,0.848
Private,Grade 6,Science,Female,95.56,3.49,0.872
Private,Grade 11,PE,Female,86.06,7.84,0.8
Charter,Grade 10,History,Female,81.09,4.67,0.784
Charter,Grade 10,Math,Male,96.82,2.54,0.959
Public,Grade 10,Music,Male,53.8,2.71,0.566
Public,Grade 10,Music,Female,86.99,5.04,0.816
Charter,Grade 6,Art,Female,45.51,3.37,0.508
Private,Grade 9,History,Male,64.39,7.95,0.65
Private,Grade 8,PE,Female,76.59,7.82,0.749
Private,Grade 10,Art,Male,58.28,6.98,0.569
Public,Grade 6,PE,Female,41.39,6.05,0.379
Public,Grade 8,Music,Female,43.36,1.46,0.346
Public,Grade 8,Computer Science,Male,61.98,1.27,0.668
Charter,Grade 10,Computer Science,Female,53.58,6.64,0.445
Private,Grade 8,Math,Female,95.98,4.27,1
Private,Grade 10,History,Male,85.22,4.54,0.852
Private,Grade 7,English,Male,87.73,0.72,0.857
Public,Grade 7,Science,Male,54.96,5.1,0.565
Charter,Grade 11,English,Male,58.62,6.22,0.571
Charter,Grade 10,History,Male,76.45,7.67,0.686
Private,Grade 9,History,Male,80.51,2.73,0.732
Private,Grade 6,Music,Female,93.12,6.01,0.898
Private,Grade 9,Music,Female,74,1.71,0.769
Public,Grade 7,Art,Male,56.39,3.47,0.54
Charter,Grade 11,Math,Male,59.51,7.54,0.592
Charter,Grade 8,Music,Male,41.04,5.25,0.473
Charter,Grade 11,Music,Male,44.77,5.46,0.377
Private,Grade 11,Science,Female,55.24,5.61,0.607
Charter,Grade 10,Music,Male,95.33,7.93,1
Public,Grade 7,PE,Male,67.47,2.1,0.728
Public,Grade 10,PE,Female,58.55,5.96,0.601
Charter,Grade 10,Math,Male,61.56,0.99,0.712
Public,Grade 11,Music,Male,91.61,1.59,0.951
Private,Grade 7,Art,Female,74.01,4.96,0.794
Public,Grade 11,History,Male,85.1,6.66,0.792
Public,Grade 10,Math,Male,79.86,4.47,0.77
Charter,Grade 8,Art,Female,76.24,3.3,0.719
Private,Grade 9,PE,Male,72.78,5.39,0.758
Private,Grade 6,Math,Male,98.9,0.9,1
Public,Grade 9,PE,Male,94.43,6.08,0.923
Charter,Grade 9,History,Female,73.12,6.59,0.699
Charter,Grade 10,PE,Female,68,3.04,0.754
Public,Grade 8,Math,Male,65.08,2.42,0.574
Public,Grade 10,Music,Female,81.57,5.03,0.756
Private,Grade 8,Math,Male,88.55,7.28,0.802
Charter,Grade 10,Math,Male,41.63,1.07,0.377
Public,Grade 10,Art,Male,53.74,4.45,0.544
Private,Grade 7,History,Female,72.06,5.83,0.701
Charter,Grade 7,Math,Female,72.46,5.96,0.815
Private,Grade 10,Math,Female,70.76,6.02,0.658
Public,Grade 10,English,Female,52.94,6.63,0.595
Public,Grade 7,Computer Science,Female,50.18,4.55,0.522
Charter,Grade 9,Science,Male,45.72,4.38,0.495
Public,Grade 9,English,Male,91.67,4.79,0.967
Private,Grade 7,Art,Male,91.33,1,0.883
Public,Grade 6,Science,Male,42.74,1.56,0.389
Charter,Grade 10,Computer Science,Male,80.55,3.25,0.836
Public,Grade 11,Math,Female,67.87,2.85,0.6
Charter,Grade 8,English,Male,83.09,0.62,0.842
Private,Grade 10,Computer Science,Female,51.38,7.69,0.485
Private,Grade 11,Music,Male,95.89,4.06,0.889
Private,Grade 9,Music,Male,46.38,7.86,0.453
Public,Grade 8,Math,Male,77.73,4.36,0.739
Private,Grade 11,History,Male,69,5.03,0.722
Public,Grade 10,Music,Male,94.69,5.01,0.876
Charter,Grade 8,Science,Male,94.08,6.72,0.914
Public,Grade 9,Science,Female,81.81,3.08,0.843
Private,Grade 7,Computer Science,Male,40.05,7.95,0.372
Private,Grade 6,Math,Male,95.89,2.71,0.982
Private,Grade 6,History,Male,51.75,6.96,0.577
Charter,Grade 10,Math,Female,65.94,2.19,0.653
Public,Grade 9,English,Male,74.84,7.81,0.77
Private,Grade 7,PE,Male,90.18,2.09,0.86
Public,Grade 8,PE,Male,72.88,3.64,0.709
Public,Grade 9,Science,Male,98.43,6.97,0.96
Private,Grade 8,PE,Female,51.16,0.81,0.451
Private,Grade 10,Music,Male,51.85,7.61,0.593
Charter,Grade 6,Science,Female,72.84,1.17,0.674
Public,Grade 9,History,Female,59.79,7.73,0.687
Public,Grade 11,PE,Female,81.95,6.08,0.78
Charter,Grade 11,Music,Female,46.08,7.09,0.533
Charter,Grade 10,Math,Male,85.93,2.54,0.826
Private,Grade 8,Music,Female,45.12,5.35,0.448
Private,Grade 9,Art,Female,87.67,1.62,0.931
Private,Grade 11,Art,Female,54.21,6.96,0.481
Public,Grade 8,English,Female,72.9,5.88,0.675
Public,Grade 8,Computer Science,Female,98.73,7.87,0.992
Public,Grade 7,Science,Female,83.1,4.44,0.804
Public,Grade 7,Math,Male,76.12,4.67,0.779
Private,Grade 10,English,Male,58.31,1.04,0.581
Charter,Grade 7,History,Male,42.33,3.24,0.504
Charter,Grade 6,Computer Science,Female,58.58,5.55,0.617
Charter,Grade 9,Science,Male,82.3,3.25,0.808
Public,Grade 7,English,Male,56.91,0.88,0.481
Charter,Grade 11,Art,Female,67.62,3.37,0.622
Charter,Grade 7,Science,Male,73.58,2.17,0.73
Private,Grade 6,Art,Male,96.7,6.27,0.9
Private,Grade 9,History,Female,43.86,6.98,0.403
Charter,Grade 8,Math,Female,96.42,2.57,1
Charter,Grade 8,Math,Male,50.78,7.29,0.517
Charter,Grade 6,Music,Female,47.2,7.72,0.503
Private,Grade 7,Art,Female,55.78,3.69,0.518
Charter,Grade 9,Art,Male,93.4,4.43,0.866
Charter,Grade 7,English,Male,96.6,5.58,0.961
Charter,Grade 7,Music,Male,70.67,7.82,0.754
Private,Grade 7,Science,Male,52.28,6.14,0.523
Public,Grade 7,Art,Female,89.73,2.24,0.912
Charter,Grade 11,Music,Female,93.22,5.14,0.988
Charter,Grade 8,PE,Male,45.06,0.93,0.471
Public,Grade 7,Music,Female,69.32,1.09,0.666
Private,Grade 10,Art,Female,81.12,6.78,0.75
Public,Grade 11,PE,Male,83.75,3.87,0.749
Public,Grade 6,English,Male,74.73,6.43,0.691
Public,Grade 7,Computer Science,Male,84.11,2.34,0.941
Charter,Grade 6,English,Male,74.52,2.85,0.795
Private,Grade 10,Science,Male,90.89,4.48,0.825
Private,Grade 10,PE,Female,44.35,6.41,0.478
Public,Grade 11,English,Female,49.55,1.6,0.399
Charter,Grade 8,Science,Female,42.23,2.56,0.322
Public,Grade 8,Music,Female,60.28,5.77,0.675
Public,Grade 9,PE,Female,55.59,0.83,0.504
Public,Grade 6,PE,Female,95.61,7.63,0.983
Charter,Grade 10,English,Male,59.34,6.54,0.498
Public,Grade 9,PE,Female,71,2.39,0.642
Charter,Grade 6,Music,Female,62.57,4.69,0.651
Private,Grade 10,Music,Male,97.18,0.75,0.995
Public,Grade 10,Math,Female,86.64,1.25,0.936
Public,Grade 11,Music,Female,56.83,6.33,0.658
Charter,Grade 10,Science,Female,47.27,0.91,0.49
Private,Grade 11,History,Female,74.31,6.49,0.753
Public,Grade 11,Math,Female,71.1,7.66,0.694
Private,Grade 11,Computer Science,Female,69.37,2.6,0.702
Private,Grade 6,Computer Science,Female,44.57,3.88,0.545
Charter,Grade 7,Science,Male,46.76,5.55,0.44
Charter,Grade 6,Math,Female,49.49,5.67,0.534
Charter,Grade 10,Computer Science,Female,46.33,4.5,0.404
Public,Grade 10,Math,Female,89.64,2.47,0.936
Private,Grade 6,Computer Science,Female,73.57,1.74,0.74
Private,Grade 10,History,Female,75.62,4.76,0.729
Charter,Grade 8,Music,Female,69.36,5.89,0.728
Charter,Grade 6,History,Male,65.7,7.49,0.597
Private,Grade 11,Science,Male,61.75,2.16,0.64
Private,Grade 6,PE,Female,97.23,4.91,1
Public,Grade 11,Math,Male,46.88,1.71,0.497
Public,Grade 6,PE,Female,52.9,4.47,0.579
Public,Grade 6,English,Male,71.51,4.81,0.64
Charter,Grade 9,Art,Female,49.13,4.87,0.416
Public,Grade 11,English,Male,72.97,5.21,0.701
Public,Grade 11,Science,Male,96.32,7.81,0.889
Charter,Grade 9,History,Male,84.89,2.28,0.848
Public,Grade 8,Science,Male,44.8,4.37,0.451
Public,Grade 7,Computer Science,Male,60.83,4.61,0.652
Private,Grade 8,Math,Female,60.63,3.32,0.69
Private,Grade 6,English,Male,54.09,1.21,0.522
Public,Grade 11,PE,Male,63.56,1.21,0.701
Public,Grade 6,Math,Female,90.86,6.02,1
Public,Grade 8,English,Female,68.09,7.99,0.66
Private,Grade 7,Math,Female,76.36,3.38,0.7
Public,Grade 11,English,Female,99.77,7.09,0.973
Private,Grade 10,Computer Science,Female,47.34,6.13,0.54
Private,Grade 8,Art,Male,97.71,7.24,0.97
Charter,Grade 10,History,Male,61.86,0.63,0.631
Charter,Grade 10,History,Male,62.91,7.88,0.693
Public,Grade 8,Art,Male,65.14,2.19,0.61
Public,Grade 7,PE,Male,59.79,0.55,0.599
Private,Grade 10,Math,Female,84.43,5.32,0.792
Charter,Grade 7,Computer Science,Male,64.1,6.52,0.634
Charter,Grade 9,History,Female,60.26,1.87,0.662
Public,Grade 8,Music,Male,43.3,1.16,0.421
Private,Grade 6,English,Male,60.55,3.29,0.526
Charter,Grade 9,English,Female,95.9,3.41,0.994
Charter,Grade 10,English,Female,55.73,6.22,0.586
Charter,Grade 6,English,Male,47.91,6.52,0.57
Charter,Grade 9,Math,Male,70.72,6.14,0.63
Charter,Grade 9,PE,Female,76.85,7.98,0.72
Public,Grade 6,Music,Female,85.99,7.09,0.834
Public,Grade 6,PE,Female,92.73,2.96,0.857
Private,Grade 9,Math,Male,86.89,7.51,0.894
Charter,Grade 10,Science,Male,90.03,3.75,0.973
Private,Grade 7,English,Female,99.89,5.76,0.927
Private,Grade 10,Art,Male,62.72,2.73,0.643
Private,Grade 7,PE,Male,53.4,0.99,0.52
Public,Grade 11,Math,Male,73.54,7.34,0.771
Charter,Grade 8,PE,Male,63.61,2.14,0.597
Charter,Grade 8,History,Male,45.16,3.8,0.498
Public,Grade 11,English,Male,73.4,0.74,0.724
Public,Grade 9,Art,Female,93.61,6.32,1
Private,Grade 8,Math,Male,51.85,7.71,0.547
Private,Grade 8,English,Female,58.38,2.4,0.5
Charter,Grade 10,Science,Female,85.75,1.32,0.948
Charter,Grade 9,History,Female,68.29,2.13,0.682
Private,Grade 8,English,Male,77.86,1.9,0.87
Charter,Grade 11,Music,Female,97.68,6.53,0.897
Private,Grade 10,Art,Female,91.18,7.35,0.897
Public,Grade 8,Math,Male,64.11,4.34,0.725
Private,Grade 11,History,Male,91.51,6.58,0.975
Charter,Grade 7,Science,Male,85.02,1.14,0.881
Public,Grade 10,Computer Science,Female,55.24,6.66,0.588
Private,Grade 7,Math,Female,87.75,5.97,0.843
Public,Grade 6,PE,Male,79.26,5.23,0.837
Public,Grade 7,Computer Science,Male,80.63,7.36,0.712
Public,Grade 8,History,Female,58.97,5.78,0.525
Public,Grade 6,Art,Female,61.54,7.28,0.617
Public,Grade 10,Art,Female,42.05,4.27,0.364
Private,Grade 7,Science,Male,46.92,0.84,0.537
Private,Grade 7,Science,Male,97.29,1.8,0.953
Private,Grade 7,Music,Male,55.06,5.07,0.545
Charter,Grade 6,PE,Male,75.84,1.1,0.718
Charter,Grade 6,Math,Female,76.11,5.98,0.716
Public,Grade 7,Math,Female,50.19,6.24,0.455
Public,Grade 10,Computer Science,Male,54.91,2.23,0.529
Public,Grade 11,History,Female,93.79,4.69,0.918
Private,Grade 7,PE,Female,43.7,1.44,0.41
Public,Grade 8,PE,Female,48.38,6.06,0.578
Charter,Grade 6,Music,Male,81.48,7.14,0.808
Charter,Grade 8,History,Female,44.83,1.28,0.547
Charter,Grade 6,Music,Male,84.24,5.05,0.801
Public,Grade 11,Computer Science,Male,85.07,3.09,0.781
Public,Grade 9,English,Female,44.77,1.38,0.371
Charter,Grade 11,Art,Female,81.13,1.56,0.802
Private,Grade 11,History,Female,88.54,4.88,0.876
Charter,Grade 11,Art,Female,70.27,7.11,0.771
Public,Grade 7,Math,Female,61.3,5.75,0.625
Charter,Grade 8,Music,Female,59.71,6.67,0.607
Private,Grade 6,History,Female,53.78,0.6,0.479
Charter,Grade 9,Art,Male,85.63,3.98,0.896
Public,Grade 8,Computer Science,Male,77.72,6.07,0.809
Private,Grade 8,PE,Female,68.31,6.75,0.758
Charter,Grade 8,Art,Male,67.96,5.41,0.705
Charter,Grade 10,Music,Female,95.83,2.57,1
Charter,Grade 8,History,Male,71.93,2.17,0.733
Charter,Grade 11,Science,Male,47.49,4.31,0.38
Private,Grade 11,History,Female,81.45,4.44,0.866
Public,Grade 7,PE,Male,55.38,5.23,0.53
Charter,Grade 6,Music,Female,59.61,2.11,0.499
Public,Grade 7,English,Female,50.54,5.57,0.464
Charter,Grade 11,Computer Science,Female,49.64,5.27,0.516
Public,Grade 8,Music,Male,48.91,5.7,0.563
Private,Grade 9,Math,Male,65,3.96,0.58
Charter,Grade 10,Music,Male,66.79,3.29,0.712
Public,Grade 10,Music,Female,44.65,3.26,0.491
Charter,Grade 11,Math,Female,84.03,6.23,0.836
Public,Grade 6,English,Male,90.06,7.38,0.831
Public,Grade 10,Art,Female,89.01,2.29,0.948
Public,Grade 9,Music,Female,84.5,5.57,0.918
Private,Grade 10,English,Male,87.46,3.76,0.892
Charter,Grade 7,Computer Science,Male,46.82,4.55,0.553
Charter,Grade 6,Art,Male,50.03,2.05,0.401
Public,Grade 7,Music,Female,94.92,6.75,0.891
Charter,Grade 7,Science,Female,95.97,5.98,1
Charter,Grade 10,PE,Male,96.48,2.72,0.974
Public,Grade 11,History,Male,90.56,1.13,0.959
Charter,Grade 7,Science,Female,56.18,2.29,0.638
Charter,Grade 7,Music,Female,46.48,1.21,0.391
Public,Grade 9,Math,Female,87.12,6.29,0.809
Public,Grade 6,PE,Male,76.59,4.5,0.834
Private,Grade 6,Art,Female,91.14,7.98,0.973
Charter,Grade 6,Math,Male,90.06,0.92,0.822
Public,Grade 7,PE,Female,84.2,0.88,0.905
Charter,Grade 9,Math,Female,75.04,0.76,0.659
Private,Grade 7,History,Female,68.57,7.52,0.696
Charter,Grade 9,History,Male,93.86,7.47,0.92
Private,Grade 7,History,Female,93.27,1.43,1
Public,Grade 11,History,Female,75.34,5.58,0.728
Charter,Grade 9,Math,Female,54.54,3.82,0.488
Public,Grade 7,Math,Male,84.82,6.25,0.759
Private,Grade 10,English,Female,94.99,2.53,0.887
Private,Grade 11,Math,Male,96.38,6.39,0.988
Private,Grade 10,Computer Science,Female,50.28,5.51,0.404
Public,Grade 8,PE,Male,45.6,6.18,0.363
Private,Grade 7,Art,Female,59.32,1.93,0.686
Private,Grade 7,Math,Female,96.89,1.91,0.962
Charter,Grade 9,Music,Male,99.95,4.54,1
Charter,Grade 11,Music,Male,96.1,7.09,0.945
Private,Grade 7,Music,Male,95.78,5.59,0.877
Charter,Grade 7,PE,Female,44.26,4.64,0.466
Public,Grade 11,Music,Female,71.44,5.69,0.771
Private,Grade 7,Art,Female,65.65,7.87,0.601
Charter,Grade 11,History,Male,93.17,3.01,0.859
Private,Grade 11,Computer Science,Female,50.41,6.28,0.419
Public,Grade 8,PE,Female,97.69,7.56,1
Public,Grade 9,Computer Science,Male,62.05,2.6,0.54
Charter,Grade 10,English,Male,87.81,6.85,0.83
Public,Grade 9,English,Male,89.83,4.15,0.957
Charter,Grade 11,Music,Female,86.2,4.24,0.931
Public,Grade 11,English,Male,67.67,7.35,0.707
Private,Grade 8,Computer Science,Female,71.8,0.96,0.663
Public,Grade 8,Art,Female,46.8,0.53,0.451
Private,Grade 11,History,Female,46.64,4.67,0.531
Charter,Grade 6,Music,Male,42.56,6.4,0.475
Public,Grade 7,PE,Female,57.73,2.69,0.492
Public,Grade 10,Art,Male,61.09,0.55,0.642
Charter,Grade 9,Science,Female,86.85,5.04,0.931
Charter,Grade 11,English,Female,59.39,7.77,0.621
Charter,Grade 6,Science,Male,98.92,0.93,1
Charter,Grade 8,Math,Female,76.7,3.01,0.712
Public,Grade 7,English,Female,62.93,4.52,0.636
Public,Grade 6,Music,Female,63.11,3.94,0.697
Charter,Grade 7,Art,Male,76.07,6.59,0.789
Private,Grade 11,Art,Male,43.57,0.87,0.362
Charter,Grade 10,History,Male,44.19,1.58,0.408
Charter,Grade 6,PE,Male,58.8,1.27,0.524
Public,Grade 11,Art,Female,47.69,6.02,0.497
Charter,Grade 6,PE,Male,67.81,6.29,0.773
Public,Grade 6,History,Female,84.98,3.23,0.827
Charter,Grade 6,History,Male,72.84,1.42,0.679
Public,Grade 9,PE,Female,62.46,5.34,0.584
Public,Grade 10,English,Male,65.4,4.84,0.716
Public,Grade 9,English,Male,87.43,4.38,0.782
Public,Grade 9,Computer Science,Male,42.85,7.66,0.419
Public,Grade 7,History,Male,71.28,3.98,0.796
Private,Grade 7,Computer Science,Male,58.87,0.89,0.507
Private,Grade 10,PE,Male,43.74,3.78,0.422
Charter,Grade 7,History,Female,43.51,2.31,0.425
Private,Grade 6,Art,Male,93.53,3.15,0.93
Private,Grade 6,Computer Science,Male,60.54,5.91,0.682
Private,Grade 10,English,Male,77.12,5.65,0.7
Private,Grade 6,Music,Male,71.62,1.02,0.736
Private,Grade 8,Music,Male,42.13,2.09,0.414
Public,Grade 11,Music,Male,86.39,5.14,0.952
Private,Grade 11,Music,Female,45.8,6.06,0.374
Private,Grade 8,Math,Female,77.33,6.98,0.801
Private,Grade 11,Art,Female,49.09,2.29,0.427
Public,Grade 9,English,Male,93.82,6.47,0.876
Charter,Grade 11,PE,Male,89.07,2.31,0.944
Public,Grade 8,English,Female,45.73,2.98,0.425
Private,Grade 11,Math,Female,41.74,5.53,0.483
Public,Grade 11,History,Female,67.54,1.05,0.697
Public,Grade 6,Music,Female,67.31,6.42,0.636
Private,Grade 6,Art,Male,67.36,7.95,0.679
Charter,Grade 11,Art,Female,77.17,5.16,0.783
Charter,Grade 10,History,Female,84.83,2.34,0.841
Public,Grade 10,English,Female,71.94,2.05,0.78
Charter,Grade 9,Art,Female,83.34,6.96,0.896
Public,Grade 9,Music,Male,59.32,2.32,0.536
Charter,Grade 11,Music,Female,66.73,4.35,0.609
Public,Grade 9,English,Female,44.22,7.75,0.403
Charter,Grade 10,Music,Female,90.68,5.06,0.966
Charter,Grade 8,History,Male,93.28,1.35,0.996
Charter,Grade 11,Science,Female,84.26,6.03,0.866
Private,Grade 7,English,Female,74.47,6.86,0.685
Private,Grade 9,Computer Science,Male,98.88,7.53,0.927
Public,Grade 11,Music,Female,62.32,3.31,0.599
Public,Grade 11,Art,Male,99.39,7.94,1
Charter,Grade 8,Computer Science,Female,80.67,2.99,0.769
Charter,Grade 11,Art,Male,75.51,3.81,0.811
Public,Grade 7,Math,Male,45.18,0.84,0.397
Private,Grade 9,Art,Male,55.18,3.96,0.534
Charter,Grade 10,Computer Science,Male,57.82,5.79,0.629
Private,Grade 7,History,Female,75.61,6.91,0.778
Charter,Grade 9,Science,Male,46.25,7.83,0.516
Private,Grade 6,Math,Male,73.65,3.29,0.658
Private,Grade 7,Art,Male,47.56,7.99,0.551
Charter,Grade 10,Math,Male,46.6,6.77,0.485
Charter,Grade 11,Music,Female,43.74,7.55,0.492
Private,Grade 8,Computer Science,Female,51.26,7.56,0.542
Private,Grade 11,Science,Female,98.87,2.14,1
Private,Grade 10,History,Male,51.4,1.12,0.479
Private,Grade 7,Computer Science,Female,45.61,7.17,0.529
Private,Grade 8,History,Female,60.41,3.42,0.522
Public,Grade 8,English,Female,88.27,0.98,0.857
Public,Grade 8,Music,Female,54,3.96,0.56
Private,Grade 9,History,Female,47.2,4.78,0.376
Private,Grade 7,PE,Female,57.23,0.99,0.505
Charter,Grade 9,Math,Female,40.39,7.97,0.491
Charter,Grade 7,Computer Science,Male,57.28,7.53,0.61
Private,Grade 8,History,Male,52.59,5.18,0.518
Charter,Grade 6,English,Female,80.9,4.65,0.847
Private,Grade 9,Music,Female,42.33,4.38,0.406
Charter,Grade 10,History,Female,85.77,4.59,0.758
Private,Grade 11,Math,Female,89.26,3.66,0.897
Public,Grade 9,PE,Female,62.51,4.97,0.587
Charter,Grade 10,History,Female,97.78,1.03,0.878
Charter,Grade 6,PE,Male,97.58,3.68,0.885
