year,region,sector,fuel_type,emissions_mt,gdp_billion,population_million
1993,Asia-Pacific,Energy,Oil,1169.7,21136,4301.6
1993,Asia-Pacific,Energy,Natural Gas,855.6,21136,4301.6
1993,Asia-Pacific,Energy,Renewables,550.9,21136,4301.6
1993,Asia-Pacific,Energy,Nuclear,115.4,21136,4301.6
1993,Asia-Pacific,Industry,Coal,726.4,21136,4301.6
1993,Asia-Pacific,Industry,Oil,636.6,21136,4301.6
1993,Asia-Pacific,Industry,Natural Gas,471.4,21136,4301.6
1993,Asia-Pacific,Industry,Renewables,315.1,21136,4301.6
1993,Asia-Pacific,Industry,Nuclear,67.9,21136,4301.6
1993,Asia-Pacific,Transport,Coal,648.5,21136,4301.6
1993,Asia-Pacific,Transport,Oil,579.9,21136,4301.6
1993,Asia-Pacific,Transport,Natural Gas,402.8,21136,4301.6
1993,Asia-Pacific,Transport,Renewables,282.9,21136,4301.6
1993,Asia-Pacific,Transport,Nuclear,58.3,21136,4301.6
1993,Asia-Pacific,Buildings,Coal,324.4,21136,4301.6
1993,Asia-Pacific,Buildings,Oil,277.6,21136,4301.6
1993,Asia-Pacific,Buildings,Natural Gas,199.2,21136,4301.6
1993,Asia-Pacific,Buildings,Renewables,142.8,21136,4301.6
1993,Asia-Pacific,Buildings,Nuclear,28.8,21136,4301.6
1993,Asia-Pacific,Agriculture,Coal,265.7,21136,4301.6
1993,Asia-Pacific,Agriculture,Oil,225,21136,4301.6
1993,Asia-Pacific,Agriculture,Natural Gas,161.4,21136,4301.6
1993,Asia-Pacific,Agriculture,Renewables,113.6,21136,4301.6
1993,Asia-Pacific,Agriculture,Nuclear,23,21136,4301.6
1994,Asia-Pacific,Energy,Coal,1295,22299,4336
1994,Asia-Pacific,Energy,Oil,1191,22299,4336
1994,Asia-Pacific,Energy,Natural Gas,876,22299,4336
1994,Asia-Pacific,Energy,Renewables,692.2,22299,4336
1994,Asia-Pacific,Energy,Nuclear,129.9,22299,4336
1994,Asia-Pacific,Industry,Coal,724.1,22299,4336
1994,Asia-Pacific,Industry,Oil,621.4,22299,4336
1994,Asia-Pacific,Industry,Natural Gas,476.3,22299,4336
1994,Asia-Pacific,Industry,Renewables,387.9,22299,4336
1994,Asia-Pacific,Industry,Nuclear,72.5,22299,4336
1994,Asia-Pacific,Transport,Coal,675,22299,4336
1994,Asia-Pacific,Transport,Oil,574.4,22299,4336
1994,Asia-Pacific,Transport,Natural Gas,447.1,22299,4336
1994,Asia-Pacific,Transport,Renewables,358.8,22299,4336
1994,Asia-Pacific,Transport,Nuclear,65.4,22299,4336
1994,Asia-Pacific,Buildings,Coal,320.6,22299,4336
1994,Asia-Pacific,Buildings,Oil,280.4,22299,4336
1994,Asia-Pacific,Buildings,Natural Gas,212.5,22299,4336
1994,Asia-Pacific,Buildings,Renewables,184.7,22299,4336
1994,Asia-Pacific,Buildings,Nuclear,31.5,22299,4336
1994,Asia-Pacific,Agriculture,Coal,261.3,22299,4336
1994,Asia-Pacific,Agriculture,Oil,225.6,22299,4336
1994,Asia-Pacific,Agriculture,Natural Gas,180,22299,4336
1994,Asia-Pacific,Agriculture,Renewables,143.2,22299,4336
1994,Asia-Pacific,Agriculture,Nuclear,26,22299,4336
1995,Asia-Pacific,Energy,Coal,1361.6,23525,4370.7
1995,Asia-Pacific,Energy,Oil,1214.9,23525,4370.7
1995,Asia-Pacific,Energy,Natural Gas,944.8,23525,4370.7
1995,Asia-Pacific,Energy,Renewables,891.5,23525,4370.7
1995,Asia-Pacific,Energy,Nuclear,133.8,23525,4370.7
1995,Asia-Pacific,Industry,Coal,747.6,23525,4370.7
1995,Asia-Pacific,Industry,Oil,646.6,23525,4370.7
1995,Asia-Pacific,Industry,Natural Gas,511.1,23525,4370.7
1995,Asia-Pacific,Industry,Renewables,465.8,23525,4370.7
1995,Asia-Pacific,Industry,Nuclear,74.1,23525,4370.7
1995,Asia-Pacific,Transport,Coal,642.2,23525,4370.7
1995,Asia-Pacific,Transport,Oil,610.3,23525,4370.7
1995,Asia-Pacific,Transport,Natural Gas,440.3,23525,4370.7
1995,Asia-Pacific,Transport,Renewables,440.7,23525,4370.7
1995,Asia-Pacific,Transport,Nuclear,70.7,23525,4370.7
1995,Asia-Pacific,Buildings,Coal,341.8,23525,4370.7
1995,Asia-Pacific,Buildings,Oil,294.3,23525,4370.7
1995,Asia-Pacific,Buildings,Natural Gas,232.8,23525,4370.7
1995,Asia-Pacific,Buildings,Renewables,227.2,23525,4370.7
1995,Asia-Pacific,Buildings,Nuclear,33.7,23525,4370.7
1995,Asia-Pacific,Agriculture,Coal,256.8,23525,4370.7
1995,Asia-Pacific,Agriculture,Oil,237.8,23525,4370.7
1995,Asia-Pacific,Agriculture,Natural Gas,185.1,23525,4370.7
1995,Asia-Pacific,Agriculture,Renewables,173.8,23525,4370.7
1995,Asia-Pacific,Agriculture,Nuclear,26.4,23525,4370.7
1996,Asia-Pacific,Energy,Coal,1326.5,24819,4405.7
1996,Asia-Pacific,Energy,Oil,1244.2,24819,4405.7
1996,Asia-Pacific,Energy,Natural Gas,984.5,24819,4405.7
1996,Asia-Pacific,Energy,Renewables,1033.2,24819,4405.7
1996,Asia-Pacific,Energy,Nuclear,143.8,24819,4405.7
1996,Asia-Pacific,Industry,Coal,742.1,24819,4405.7
1996,Asia-Pacific,Industry,Oil,693.8,24819,4405.7
1996,Asia-Pacific,Industry,Natural Gas,527.3,24819,4405.7
1996,Asia-Pacific,Industry,Renewables,584.3,24819,4405.7
1996,Asia-Pacific,Industry,Nuclear,81.7,24819,4405.7
1996,Asia-Pacific,Transport,Coal,669.8,24819,4405.7
1996,Asia-Pacific,Transport,Oil,617.5,24819,4405.7
1996,Asia-Pacific,Transport,Natural Gas,474.3,24819,4405.7
1996,Asia-Pacific,Transport,Renewables,531.5,24819,4405.7
1996,Asia-Pacific,Transport,Nuclear,70.5,24819,4405.7
1996,Asia-Pacific,Buildings,Coal,323.4,24819,4405.7
1996,Asia-Pacific,Buildings,Oil,314.9,24819,4405.7
1996,Asia-Pacific,Buildings,Natural Gas,245.5,24819,4405.7
1996,Asia-Pacific,Buildings,Renewables,254.6,24819,4405.7
1996,Asia-Pacific,Buildings,Nuclear,37.5,24819,4405.7
1996,Asia-Pacific,Agriculture,Coal,258.1,24819,4405.7
1996,Asia-Pacific,Agriculture,Oil,247.1,24819,4405.7
1996,Asia-Pacific,Agriculture,Natural Gas,199.8,24819,4405.7
1996,Asia-Pacific,Agriculture,Renewables,214.2,24819,4405.7
1996,Asia-Pacific,Agriculture,Nuclear,29.3,24819,4405.7
1997,Asia-Pacific,Energy,Coal,1409.1,26184,4440.9
1997,Asia-Pacific,Energy,Oil,1244,26184,4440.9
1997,Asia-Pacific,Energy,Natural Gas,1038.8,26184,4440.9
1997,Asia-Pacific,Energy,Renewables,1220.8,26184,4440.9
1997,Asia-Pacific,Energy,Nuclear,153.2,26184,4440.9
1997,Asia-Pacific,Industry,Coal,731.3,26184,4440.9
1997,Asia-Pacific,Industry,Oil,724.3,26184,4440.9
1997,Asia-Pacific,Industry,Natural Gas,552.6,26184,4440.9
1997,Asia-Pacific,Industry,Renewables,700.5,26184,4440.9
1997,Asia-Pacific,Industry,Nuclear,87.7,26184,4440.9
1997,Asia-Pacific,Transport,Coal,671.2,26184,4440.9
1997,Asia-Pacific,Transport,Oil,625.2,26184,4440.9
1997,Asia-Pacific,Transport,Natural Gas,523.1,26184,4440.9
1997,Asia-Pacific,Transport,Renewables,609.2,26184,4440.9
1997,Asia-Pacific,Transport,Nuclear,75,26184,4440.9
1997,Asia-Pacific,Buildings,Coal,344.6,26184,4440.9
1997,Asia-Pacific,Buildings,Oil,330.6,26184,4440.9
1997,Asia-Pacific,Buildings,Natural Gas,261.6,26184,4440.9
1997,Asia-Pacific,Buildings,Renewables,315.7,26184,4440.9
1997,Asia-Pacific,Buildings,Nuclear,37.8,26184,4440.9
1997,Asia-Pacific,Agriculture,Coal,271.3,26184,4440.9
1997,Asia-Pacific,Agriculture,Oil,263.6,26184,4440.9
1997,Asia-Pacific,Agriculture,Natural Gas,205.7,26184,4440.9
1997,Asia-Pacific,Agriculture,Renewables,255.2,26184,4440.9
1997,Asia-Pacific,Agriculture,Nuclear,32.4,26184,4440.9
1998,Asia-Pacific,Energy,Coal,1408.1,27624,4476.4
1998,Asia-Pacific,Energy,Oil,1371.9,27624,4476.4
1998,Asia-Pacific,Energy,Natural Gas,1043.5,27624,4476.4
1998,Asia-Pacific,Energy,Renewables,1448.3,27624,4476.4
1998,Asia-Pacific,Energy,Nuclear,162.5,27624,4476.4
1998,Asia-Pacific,Industry,Coal,748.5,27624,4476.4
1998,Asia-Pacific,Industry,Oil,742.9,27624,4476.4
1998,Asia-Pacific,Industry,Natural Gas,604,27624,4476.4
1998,Asia-Pacific,Industry,Renewables,820.2,27624,4476.4
1998,Asia-Pacific,Industry,Nuclear,92.9,27624,4476.4
1998,Asia-Pacific,Transport,Coal,668.8,27624,4476.4
1998,Asia-Pacific,Transport,Oil,664.3,27624,4476.4
1998,Asia-Pacific,Transport,Natural Gas,543,27624,4476.4
1998,Asia-Pacific,Transport,Renewables,724.6,27624,4476.4
1998,Asia-Pacific,Transport,Nuclear,84.2,27624,4476.4
1998,Asia-Pacific,Buildings,Coal,336.6,27624,4476.4
1998,Asia-Pacific,Buildings,Oil,332.2,27624,4476.4
1998,Asia-Pacific,Buildings,Natural Gas,275.9,27624,4476.4
1998,Asia-Pacific,Buildings,Renewables,375.5,27624,4476.4
1998,Asia-Pacific,Buildings,Nuclear,41.2,27624,4476.4
1998,Asia-Pacific,Agriculture,Coal,276.3,27624,4476.4
1998,Asia-Pacific,Agriculture,Oil,276.1,27624,4476.4
1998,Asia-Pacific,Agriculture,Natural Gas,208.8,27624,4476.4
1998,Asia-Pacific,Agriculture,Renewables,278.1,27624,4476.4
1998,Asia-Pacific,Agriculture,Nuclear,32.6,27624,4476.4
1999,Asia-Pacific,Energy,Coal,1393.9,29144,4512.3
1999,Asia-Pacific,Energy,Oil,1382.3,29144,4512.3
1999,Asia-Pacific,Energy,Natural Gas,1101.3,29144,4512.3
1999,Asia-Pacific,Energy,Renewables,1664.1,29144,4512.3
1999,Asia-Pacific,Energy,Nuclear,182,29144,4512.3
1999,Asia-Pacific,Industry,Coal,741.8,29144,4512.3
1999,Asia-Pacific,Industry,Oil,755.6,29144,4512.3
1999,Asia-Pacific,Industry,Natural Gas,616.4,29144,4512.3
1999,Asia-Pacific,Industry,Renewables,888.4,29144,4512.3
1999,Asia-Pacific,Industry,Nuclear,95.5,29144,4512.3
1999,Asia-Pacific,Transport,Coal,680.8,29144,4512.3
1999,Asia-Pacific,Transport,Oil,694.7,29144,4512.3
1999,Asia-Pacific,Transport,Natural Gas,582.3,29144,4512.3
1999,Asia-Pacific,Transport,Renewables,816.5,29144,4512.3
1999,Asia-Pacific,Transport,Nuclear,87.9,29144,4512.3
1999,Asia-Pacific,Buildings,Coal,346.1,29144,4512.3
1999,Asia-Pacific,Buildings,Oil,345.7,29144,4512.3
1999,Asia-Pacific,Buildings,Natural Gas,287.5,29144,4512.3
1999,Asia-Pacific,Buildings,Renewables,417.3,29144,4512.3
1999,Asia-Pacific,Buildings,Nuclear,43.6,29144,4512.3
1999,Asia-Pacific,Agriculture,Coal,284.8,29144,4512.3
1999,Asia-Pacific,Agriculture,Oil,283.6,29144,4512.3
1999,Asia-Pacific,Agriculture,Natural Gas,216.7,29144,4512.3
1999,Asia-Pacific,Agriculture,Renewables,339.9,29144,4512.3
1999,Asia-Pacific,Agriculture,Nuclear,35.9,29144,4512.3
2000,Asia-Pacific,Energy,Coal,1464.8,30747,4548.4
2000,Asia-Pacific,Energy,Oil,1369.2,30747,4548.4
2000,Asia-Pacific,Energy,Natural Gas,1189.4,30747,4548.4
2000,Asia-Pacific,Energy,Renewables,1937.5,30747,4548.4
2000,Asia-Pacific,Energy,Nuclear,184,30747,4548.4
2000,Asia-Pacific,Industry,Coal,766.8,30747,4548.4
2000,Asia-Pacific,Industry,Oil,786,30747,4548.4
2000,Asia-Pacific,Industry,Natural Gas,647.5,30747,4548.4
2000,Asia-Pacific,Industry,Renewables,1024.4,30747,4548.4
2000,Asia-Pacific,Industry,Nuclear,106.4,30747,4548.4
2000,Asia-Pacific,Transport,Coal,728.1,30747,4548.4
2000,Asia-Pacific,Transport,Oil,691.6,30747,4548.4
2000,Asia-Pacific,Transport,Natural Gas,576.4,30747,4548.4
2000,Asia-Pacific,Transport,Renewables,945.9,30747,4548.4
2000,Asia-Pacific,Transport,Nuclear,96.7,30747,4548.4
2000,Asia-Pacific,Buildings,Coal,362.5,30747,4548.4
2000,Asia-Pacific,Buildings,Oil,364.2,30747,4548.4
2000,Asia-Pacific,Buildings,Natural Gas,288.9,30747,4548.4
2000,Asia-Pacific,Buildings,Renewables,466.7,30747,4548.4
2000,Asia-Pacific,Buildings,Nuclear,48.5,30747,4548.4
2000,Asia-Pacific,Agriculture,Coal,275.1,30747,4548.4
2000,Asia-Pacific,Agriculture,Oil,280.3,30747,4548.4
2000,Asia-Pacific,Agriculture,Natural Gas,232.7,30747,4548.4
2000,Asia-Pacific,Agriculture,Renewables,369,30747,4548.4
2000,Asia-Pacific,Agriculture,Nuclear,37.3,30747,4548.4
2001,Asia-Pacific,Energy,Coal,1467.4,32438,4584.7
2001,Asia-Pacific,Energy,Oil,1473.1,32438,4584.7
2001,Asia-Pacific,Energy,Natural Gas,1267.1,32438,4584.7
2001,Asia-Pacific,Energy,Renewables,2079,32438,4584.7
2001,Asia-Pacific,Energy,Nuclear,209.8,32438,4584.7
2001,Asia-Pacific,Industry,Coal,761.9,32438,4584.7
2001,Asia-Pacific,Industry,Oil,783.2,32438,4584.7
2001,Asia-Pacific,Industry,Natural Gas,664.9,32438,4584.7
2001,Asia-Pacific,Industry,Renewables,1220.4,32438,4584.7
2001,Asia-Pacific,Industry,Nuclear,109.5,32438,4584.7
2001,Asia-Pacific,Transport,Coal,746.2,32438,4584.7
2001,Asia-Pacific,Transport,Oil,729.6,32438,4584.7
2001,Asia-Pacific,Transport,Natural Gas,618.8,32438,4584.7
2001,Asia-Pacific,Transport,Renewables,1072.9,32438,4584.7
2001,Asia-Pacific,Transport,Nuclear,101.2,32438,4584.7
2001,Asia-Pacific,Buildings,Coal,361.3,32438,4584.7
2001,Asia-Pacific,Buildings,Oil,378.6,32438,4584.7
2001,Asia-Pacific,Buildings,Natural Gas,306.9,32438,4584.7
2001,Asia-Pacific,Buildings,Renewables,524.3,32438,4584.7
2001,Asia-Pacific,Buildings,Nuclear,49.5,32438,4584.7
2001,Asia-Pacific,Agriculture,Coal,297,32438,4584.7
2001,Asia-Pacific,Agriculture,Oil,289.9,32438,4584.7
2001,Asia-Pacific,Agriculture,Natural Gas,254.6,32438,4584.7
2001,Asia-Pacific,Agriculture,Renewables,419,32438,4584.7
2001,Asia-Pacific,Agriculture,Nuclear,40.7,32438,4584.7
2002,Asia-Pacific,Energy,Coal,1435.3,34222,4621.4
2002,Asia-Pacific,Energy,Oil,1557.7,34222,4621.4
2002,Asia-Pacific,Energy,Natural Gas,1283.5,34222,4621.4
2002,Asia-Pacific,Energy,Renewables,2315.3,34222,4621.4
2002,Asia-Pacific,Energy,Nuclear,215.1,34222,4621.4
2002,Asia-Pacific,Industry,Coal,823,34222,4621.4
2002,Asia-Pacific,Industry,Oil,817.5,34222,4621.4
2002,Asia-Pacific,Industry,Natural Gas,744.1,34222,4621.4
2002,Asia-Pacific,Industry,Renewables,1331.5,34222,4621.4
2002,Asia-Pacific,Industry,Nuclear,114,34222,4621.4
2002,Asia-Pacific,Transport,Coal,706.9,34222,4621.4
2002,Asia-Pacific,Transport,Oil,728.4,34222,4621.4
2002,Asia-Pacific,Transport,Natural Gas,680.9,34222,4621.4
2002,Asia-Pacific,Transport,Renewables,1176,34222,4621.4
2002,Asia-Pacific,Transport,Nuclear,105,34222,4621.4
2002,Asia-Pacific,Buildings,Coal,354.6,34222,4621.4
2002,Asia-Pacific,Buildings,Oil,392.2,34222,4621.4
2002,Asia-Pacific,Buildings,Natural Gas,328.5,34222,4621.4
2002,Asia-Pacific,Buildings,Renewables,591.1,34222,4621.4
2002,Asia-Pacific,Buildings,Nuclear,52.8,34222,4621.4
2002,Asia-Pacific,Agriculture,Coal,299.9,34222,4621.4
2002,Asia-Pacific,Agriculture,Oil,310.7,34222,4621.4
2002,Asia-Pacific,Agriculture,Natural Gas,267.4,34222,4621.4
2002,Asia-Pacific,Agriculture,Renewables,468,34222,4621.4
2002,Asia-Pacific,Agriculture,Nuclear,44.5,34222,4621.4
2003,Asia-Pacific,Energy,Coal,1435.4,36104,4658.4
2003,Asia-Pacific,Energy,Oil,1520.3,36104,4658.4
2003,Asia-Pacific,Energy,Natural Gas,1375,36104,4658.4
2003,Asia-Pacific,Energy,Renewables,2609.9,36104,4658.4
2003,Asia-Pacific,Energy,Nuclear,224.4,36104,4658.4
2003,Asia-Pacific,Industry,Coal,824.6,36104,4658.4
2003,Asia-Pacific,Industry,Oil,860.5,36104,4658.4
2003,Asia-Pacific,Industry,Natural Gas,774.1,36104,4658.4
2003,Asia-Pacific,Industry,Renewables,1501.3,36104,4658.4
2003,Asia-Pacific,Industry,Nuclear,122.7,36104,4658.4
2003,Asia-Pacific,Transport,Coal,731.4,36104,4658.4
2003,Asia-Pacific,Transport,Oil,764,36104,4658.4
2003,Asia-Pacific,Transport,Natural Gas,697.5,36104,4658.4
2003,Asia-Pacific,Transport,Renewables,1361.1,36104,4658.4
2003,Asia-Pacific,Transport,Nuclear,115.6,36104,4658.4
2003,Asia-Pacific,Buildings,Coal,359.9,36104,4658.4
2003,Asia-Pacific,Buildings,Oil,377.1,36104,4658.4
2003,Asia-Pacific,Buildings,Natural Gas,342.5,36104,4658.4
2003,Asia-Pacific,Buildings,Renewables,658.1,36104,4658.4
2003,Asia-Pacific,Buildings,Nuclear,58.8,36104,4658.4
2003,Asia-Pacific,Agriculture,Coal,287.2,36104,4658.4
2003,Asia-Pacific,Agriculture,Oil,301.2,36104,4658.4
2003,Asia-Pacific,Agriculture,Natural Gas,282.5,36104,4658.4
2003,Asia-Pacific,Agriculture,Renewables,521.6,36104,4658.4
2003,Asia-Pacific,Agriculture,Nuclear,45.8,36104,4658.4
2004,Asia-Pacific,Energy,Coal,1496.1,38090,4695.7
2004,Asia-Pacific,Energy,Oil,1603.3,38090,4695.7
2004,Asia-Pacific,Energy,Natural Gas,1483.2,38090,4695.7
2004,Asia-Pacific,Energy,Renewables,2887.8,38090,4695.7
2004,Asia-Pacific,Energy,Nuclear,239.5,38090,4695.7
2004,Asia-Pacific,Industry,Coal,792.9,38090,4695.7
2004,Asia-Pacific,Industry,Oil,910.5,38090,4695.7
2004,Asia-Pacific,Industry,Natural Gas,768,38090,4695.7
2004,Asia-Pacific,Industry,Renewables,1660.7,38090,4695.7
2004,Asia-Pacific,Industry,Nuclear,130.5,38090,4695.7
2004,Asia-Pacific,Transport,Coal,742.5,38090,4695.7
2004,Asia-Pacific,Transport,Oil,788.6,38090,4695.7
2004,Asia-Pacific,Transport,Natural Gas,703.4,38090,4695.7
2004,Asia-Pacific,Transport,Renewables,1445.5,38090,4695.7
2004,Asia-Pacific,Transport,Nuclear,122.4,38090,4695.7
2004,Asia-Pacific,Buildings,Coal,383.5,38090,4695.7
2004,Asia-Pacific,Buildings,Oil,418.1,38090,4695.7
2004,Asia-Pacific,Buildings,Natural Gas,376,38090,4695.7
2004,Asia-Pacific,Buildings,Renewables,737.5,38090,4695.7
2004,Asia-Pacific,Buildings,Nuclear,60.7,38090,4695.7
2004,Asia-Pacific,Agriculture,Coal,285.5,38090,4695.7
2004,Asia-Pacific,Agriculture,Oil,333.2,38090,4695.7
2004,Asia-Pacific,Agriculture,Natural Gas,298.4,38090,4695.7
2004,Asia-Pacific,Agriculture,Renewables,611.7,38090,4695.7
2004,Asia-Pacific,Agriculture,Nuclear,50.1,38090,4695.7
2005,Asia-Pacific,Energy,Coal,1538.6,40185,4733.2
2005,Asia-Pacific,Energy,Oil,1710.4,40185,4733.2
2005,Asia-Pacific,Energy,Natural Gas,1537.9,40185,4733.2
2005,Asia-Pacific,Energy,Renewables,3400.7,40185,4733.2
2005,Asia-Pacific,Energy,Nuclear,256.6,40185,4733.2
2005,Asia-Pacific,Industry,Coal,809.1,40185,4733.2
2005,Asia-Pacific,Industry,Oil,945.8,40185,4733.2
2005,Asia-Pacific,Industry,Natural Gas,836.7,40185,4733.2
2005,Asia-Pacific,Industry,Renewables,1869.6,40185,4733.2
2005,Asia-Pacific,Industry,Nuclear,137.2,40185,4733.2
2005,Asia-Pacific,Transport,Coal,772.8,40185,4733.2
2005,Asia-Pacific,Transport,Oil,843.8,40185,4733.2
2005,Asia-Pacific,Transport,Natural Gas,758.7,40185,4733.2
2005,Asia-Pacific,Transport,Renewables,1685.2,40185,4733.2
2005,Asia-Pacific,Transport,Nuclear,127.7,40185,4733.2
2005,Asia-Pacific,Buildings,Coal,386.5,40185,4733.2
2005,Asia-Pacific,Buildings,Oil,406.2,40185,4733.2
2005,Asia-Pacific,Buildings,Natural Gas,369.1,40185,4733.2
2005,Asia-Pacific,Buildings,Renewables,804.6,40185,4733.2
2005,Asia-Pacific,Buildings,Nuclear,62.3,40185,4733.2
2005,Asia-Pacific,Agriculture,Coal,299.8,40185,4733.2
2005,Asia-Pacific,Agriculture,Oil,327.8,40185,4733.2
2005,Asia-Pacific,Agriculture,Natural Gas,308,40185,4733.2
2005,Asia-Pacific,Agriculture,Renewables,679.2,40185,4733.2
2005,Asia-Pacific,Agriculture,Nuclear,51.3,40185,4733.2
2006,Asia-Pacific,Energy,Coal,1568.9,42395,4771.1
2006,Asia-Pacific,Energy,Oil,1767.5,42395,4771.1
2006,Asia-Pacific,Energy,Natural Gas,1667.6,42395,4771.1
2006,Asia-Pacific,Energy,Renewables,3749.8,42395,4771.1
2006,Asia-Pacific,Energy,Nuclear,272.4,42395,4771.1
2006,Asia-Pacific,Industry,Coal,849.9,42395,4771.1
2006,Asia-Pacific,Industry,Oil,944.4,42395,4771.1
2006,Asia-Pacific,Industry,Natural Gas,884.8,42395,4771.1
2006,Asia-Pacific,Industry,Renewables,1956.9,42395,4771.1
2006,Asia-Pacific,Industry,Nuclear,147,42395,4771.1
2006,Asia-Pacific,Transport,Coal,765.5,42395,4771.1
2006,Asia-Pacific,Transport,Oil,865.1,42395,4771.1
2006,Asia-Pacific,Transport,Natural Gas,793.5,42395,4771.1
2006,Asia-Pacific,Transport,Renewables,1785.4,42395,4771.1
2006,Asia-Pacific,Transport,Nuclear,140.4,42395,4771.1
