year,country,energy_source,production_twh,capacity_gw,investment_billion_usd,jobs_thousands,co2_intensity_gco2_kwh
2023,USA,Hydropower,368.4,110.67,96.65,111.7,4
2023,USA,Nuclear,866.8,123.69,353.65,304.6,12
2023,USA,Wind,858.2,349.89,165.37,1172.8,11
2023,USA,Solar,868.5,583.2,132.48,2782.5,44
2024,USA,Coal,1418.9,294.5,183.45,345.2,803
2024,USA,Natural Gas,1771.7,505.62,143.97,201.6,495
2024,USA,Oil & Gas,519.2,169.34,56.36,84,660
2024,USA,Hydropower,353.3,106.13,95.56,104.8,4
2024,USA,Nuclear,857.9,122.42,350.49,318.7,12
2024,USA,Wind,971.4,396.04,187.19,1391.3,11
2024,USA,Solar,1160.8,779.48,185.51,4034.2,45
2005,China,Coal,4465.2,926.77,579.82,1098,832
2005,China,Natural Gas,304.6,86.93,25.06,36.3,492
2005,China,Oil & Gas,397.7,129.71,40.51,63.3,649
2005,China,Hydropower,612,183.85,156.49,188.9,4
2005,China,Nuclear,198.2,28.28,81.17,68,12
2005,China,Wind,204.3,83.29,39.59,293.5,11
2005,China,Solar,39,26.19,5.95,131.2,45
2006,China,Coal,4469.9,927.75,569.19,1116.8,811
2006,China,Natural Gas,306.5,87.47,26.1,35.3,481
2006,China,Oil & Gas,393.4,128.31,40.07,61.7,635
2006,China,Hydropower,589.9,177.21,157.84,185.6,4
2006,China,Nuclear,203.3,29.01,87.34,75.5,12
2006,China,Wind,227.6,92.79,43.41,332.8,11
2006,China,Solar,48.5,32.57,7.64,161.9,46
2007,China,Coal,4518.9,937.92,588.84,1072.2,804
2007,China,Natural Gas,312.8,89.27,27.48,34.8,488
2007,China,Oil & Gas,403.3,131.54,42.94,67.4,640
2007,China,Hydropower,602.8,181.09,160.19,176.3,4
2007,China,Nuclear,197.9,28.24,86.64,73.6,12
2007,China,Wind,241.4,98.42,45.95,341,11
2007,China,Solar,57.3,38.48,9.2,192.6,46
2008,China,Coal,4328.1,898.32,568.69,1042.6,826
2008,China,Natural Gas,311.5,88.9,25.74,35.6,496
2008,China,Oil & Gas,394.4,128.64,40.58,65.7,660
2008,China,Hydropower,614.8,184.69,154.37,181.7,4
2008,China,Nuclear,201.7,28.78,83.63,74.9,12
2008,China,Wind,274.9,112.08,51.04,394.8,11
2008,China,Solar,67.2,45.12,10.26,215.6,44
2009,China,Coal,4218.2,875.51,549.33,1090.3,818
2009,China,Natural Gas,304.1,86.79,25.2,36.1,481
2009,China,Oil & Gas,403,131.44,41.53,64.9,654
2009,China,Hydropower,631.2,189.62,169.95,185.7,4
2009,China,Nuclear,201.5,28.75,88.29,68.9,12
2009,China,Wind,310.5,126.59,58.24,450.5,11
2009,China,Solar,83,55.73,13.62,272.2,45
2010,China,Coal,4346.8,902.2,568.85,1117.3,814
2010,China,Natural Gas,312.8,89.27,27.15,35.9,488
2010,China,Oil & Gas,392.3,127.95,39.93,65.9,647
2010,China,Hydropower,625.9,188.03,158.83,195.8,4
2010,China,Nuclear,199.7,28.5,82.92,72.8,12
2010,China,Wind,341.7,139.31,62.66,465.3,11
2010,China,Solar,99.4,66.75,15.42,323.1,45
2011,China,Coal,4135.3,858.3,498.46,1074.9,836
2011,China,Natural Gas,314,89.61,26.73,36.2,497
2011,China,Oil & Gas,396.4,129.29,42.03,64,637
2011,China,Hydropower,639.2,192.02,172.49,183.9,4
2011,China,Nuclear,201.5,28.75,82.16,69.6,12
2011,China,Wind,379.7,154.8,70.16,524.8,11
2011,China,Solar,117.5,78.9,19.24,380.2,46
2012,China,Coal,4175.1,866.56,505.91,1052.1,832
2012,China,Natural Gas,319.9,91.3,27.88,35,493
2012,China,Oil & Gas,399.2,130.2,43.69,63.9,635
2012,China,Hydropower,648.6,194.84,168.65,197.9,4
2012,China,Nuclear,204.6,29.2,87.35,69.7,12
2012,China,Wind,426.2,173.76,82.46,610.1,11
2012,China,Solar,141.9,95.29,22.24,487.7,46
2013,China,Coal,4171.2,865.75,542.05,1045.2,820
2013,China,Natural Gas,316,90.18,26.1,35.3,485
2013,China,Oil & Gas,409.4,133.53,41.59,63.5,645
2013,China,Hydropower,647,194.36,172.4,204.1,4
2013,China,Nuclear,203.5,29.04,81.8,73.1,12
2013,China,Wind,469.6,191.45,90.85,701.7,11
2013,China,Solar,167.9,112.75,25.59,549.3,45
2014,China,Coal,3999.8,830.18,521.38,985.2,804
2014,China,Natural Gas,314.9,89.87,25.24,37.4,497
2014,China,Oil & Gas,405.1,132.13,43.42,64.3,659
2014,China,Hydropower,649.8,195.21,166.37,191.4,4
2014,China,Nuclear,205.7,29.35,83.8,71.7,12
2014,China,Wind,519.3,211.72,98.28,771.5,11
2014,China,Solar,201,134.97,32.7,672.2,44
2015,China,Coal,4087.9,848.46,531.34,980.8,835
2015,China,Natural Gas,327.3,93.41,27.48,37.5,495
2015,China,Oil & Gas,396.6,129.35,43.46,64.8,649
2015,China,Hydropower,664.6,199.65,177.64,198.9,4
2015,China,Nuclear,207.9,29.67,87.25,71.1,12
2015,China,Wind,555.7,226.56,106.69,765.6,11
2015,China,Solar,250.1,167.94,39.2,812.5,44
2016,China,Coal,3984.5,827,492.78,958.6,836
2016,China,Natural Gas,332.8,94.98,27.34,39.9,502
2016,China,Oil & Gas,400.8,130.72,44.01,63.2,638
2016,China,Hydropower,658.1,197.7,178.22,200.8,4
2016,China,Nuclear,213.4,30.45,85.52,75.9,12
2016,China,Wind,669.4,272.91,131.85,985.1,11
2016,China,Solar,315.4,211.79,49.52,1081.1,46
2017,China,Coal,3703.1,768.6,469.22,919.1,813
2017,China,Natural Gas,326.5,93.18,28.71,37.5,489
2017,China,Oil & Gas,414.4,135.16,44.64,65.4,637
2017,China,Hydropower,672,201.87,182.84,203.8,4
2017,China,Nuclear,211.4,30.17,91.53,72.7,12
2017,China,Wind,746.9,304.51,147.86,1117.4,11
2017,China,Solar,405.3,272.16,63.36,1357.3,45
2018,China,Coal,3644.8,756.5,477.58,952.4,833
2018,China,Natural Gas,327.7,93.52,27.4,38,497
2018,China,Oil & Gas,414,135.03,42.5,65.4,654
2018,China,Hydropower,647.7,194.57,163.92,189.2,4
2018,China,Nuclear,207.2,29.57,88.1,75.1,12
2018,China,Wind,842,343.28,153.91,1154.9,11
2018,China,Solar,526.2,353.34,83.41,1725.5,44
2019,China,Coal,3690.2,765.92,460.3,884.6,820
2019,China,Natural Gas,332.2,94.81,27.96,37.5,496
2019,China,Oil & Gas,415.9,135.65,41.62,68.9,637
2019,China,Hydropower,659.3,198.06,165.76,198.3,4
2019,China,Nuclear,212.7,30.35,86.88,73.3,12
2019,China,Wind,1019.9,415.81,199.98,1467.1,11
2019,China,Solar,680.1,456.69,107.39,2237.1,45
2020,China,Coal,3578.7,742.78,464.76,892.8,822
2020,China,Natural Gas,342.7,97.8,28.04,39,483
2020,China,Oil & Gas,399.5,130.3,41.39,68.3,661
2020,China,Hydropower,674.6,202.66,171.51,206.2,4
2020,China,Nuclear,212.8,30.37,91.3,79.3,12
2020,China,Wind,1124.7,458.54,222.12,1606.5,11
2020,China,Solar,845,567.42,130.97,2896.5,45
2021,China,Coal,3488.9,724.14,456.76,908.5,826
2021,China,Natural Gas,347.2,99.09,28.62,40.5,488
2021,China,Oil & Gas,417.5,136.17,42.06,64.8,644
2021,China,Hydropower,677.3,203.47,185.37,207.5,4
2021,China,Nuclear,218.9,31.24,92.52,75.1,12
2021,China,Wind,1280.9,522.22,251.59,1792.4,11
2021,China,Solar,1078,723.88,175.16,3506.1,45
2022,China,Coal,3393.4,704.32,423.15,834.9,806
2022,China,Natural Gas,340.4,97.15,28.67,37,480
2022,China,Oil & Gas,415.6,135.55,42.59,70.2,660
2022,China,Hydropower,659.7,198.18,170.75,190.7,4
2022,China,Nuclear,210.3,30.01,92.11,75.5,12
2022,China,Wind,1512.7,616.72,288.1,2157.7,11
2022,China,Solar,1432.1,961.66,236.06,4743.1,44
2023,China,Coal,3168.8,657.7,399.08,795.8,806
2023,China,Natural Gas,346.5,98.89,28.16,40.2,493
2023,China,Oil & Gas,399.7,130.37,43.42,67.1,664
2023,China,Hydropower,668.6,200.85,172.39,208.9,4
2023,China,Nuclear,219.9,31.38,88.06,81,12
2023,China,Wind,1746.3,711.96,341.22,2500.5,11
2023,China,Solar,1757.5,1180.16,281.33,6061.7,44
2024,China,Coal,3252,674.97,405.46,823,834
2024,China,Natural Gas,357.4,102,30.86,39.8,478
2024,China,Oil & Gas,407.9,133.04,42.56,67.5,663
2024,China,Hydropower,681.5,204.73,187.16,201.8,4
2024,China,Nuclear,216.9,30.95,90.31,80.3,12
2024,China,Wind,1968.5,802.55,384.01,2689.6,11
2024,China,Solar,2240,1504.16,340.36,7555.5,44
2005,Germany,Coal,354.7,73.62,45.06,90.6,827
2005,Germany,Natural Gas,221,63.07,18.23,25.2,494
2005,Germany,Oil & Gas,79.4,25.9,8.29,12.4,643
2005,Germany,Hydropower,39,11.72,10.43,12.2,4
2005,Germany,Nuclear,145.9,20.82,62.2,53.8,12
2005,Germany,Wind,118.4,48.27,21.56,166.5,11
2005,Germany,Solar,59.9,40.22,9.07,192.4,46
2006,Germany,Coal,340.7,70.71,42.11,88.3,824
2006,Germany,Natural Gas,226.1,64.53,19.47,26.1,490
2006,Germany,Oil & Gas,78.7,25.67,8.31,13.2,636
2006,Germany,Hydropower,39.4,11.84,10.35,12.3,4
2006,Germany,Nuclear,152.1,21.7,65.57,53.8,12
2006,Germany,Wind,129.6,52.84,25.28,193,11
2006,Germany,Solar,74.1,49.76,11.16,250.8,44
2007,Germany,Coal,341.7,70.92,42.45,87.1,821
2007,Germany,Natural Gas,222.3,63.44,18.6,24.1,492
2007,Germany,Oil & Gas,78.1,25.47,8.16,13,641
2007,Germany,Hydropower,39.8,11.96,10.48,12.3,4
2007,Germany,Nuclear,151.8,21.66,61.07,55.3,12
2007,Germany,Wind,144.4,58.87,26.04,197.9,11
2007,Germany,Solar,84.4,56.67,13.51,293.3,46
2008,Germany,Coal,338.9,70.34,42.46,80.2,802
2008,Germany,Natural Gas,230.9,65.9,18.84,25.8,479
2008,Germany,Oil & Gas,81.3,26.52,8.2,13.8,638
2008,Germany,Hydropower,42,12.62,11.31,12.3,4
2008,Germany,Nuclear,154.3,22.02,66.96,55.2,12
2008,Germany,Wind,167.3,68.21,30.64,232.4,11
2008,Germany,Solar,101.6,68.22,16.62,327.5,44
2009,Germany,Coal,329.7,68.43,42.76,81,825
2009,Germany,Natural Gas,222.9,63.61,18.99,26.2,491
2009,Germany,Oil & Gas,80.6,26.29,8.33,12.6,644
2009,Germany,Hydropower,42.2,12.68,10.75,12.9,4
2009,Germany,Nuclear,148.7,21.22,63.58,52,12
2009,Germany,Wind,177.4,72.33,33.97,249.8,11
2009,Germany,Solar,126.8,85.15,20.73,428.1,44
2010,Germany,Coal,333.4,69.2,41.14,85,838
2010,Germany,Natural Gas,225.9,64.47,18.31,25.5,500
2010,Germany,Oil & Gas,80.2,26.16,8.41,12.9,644
2010,Germany,Hydropower,42.1,12.65,11.18,12.5,4
2010,Germany,Nuclear,155.1,22.13,62.68,57.1,12
2010,Germany,Wind,199.2,81.21,36.54,287.9,11
2010,Germany,Solar,145.5,97.7,23,502.9,45
2011,Germany,Coal,334.2,69.36,42.92,83.4,800
2011,Germany,Natural Gas,228.1,65.1,18.79,27.2,499
2011,Germany,Oil & Gas,78.8,25.7,8.41,12.3,659
2011,Germany,Hydropower,42.7,12.83,11.5,12.5,4
2011,Germany,Nuclear,157.5,22.47,65.11,58.3,12
2011,Germany,Wind,218.4,89.04,40.28,309.9,11
2011,Germany,Solar,182,122.21,27.71,608.1,45
2012,Germany,Coal,320.6,66.54,41.06,82,805
2012,Germany,Natural Gas,226.6,64.67,18.35,25.3,496
2012,Germany,Oil & Gas,79.8,26.03,8.16,12.5,653
2012,Germany,Hydropower,42.4,12.74,11.24,12.2,4
2012,Germany,Nuclear,155.4,22.17,64.28,58,12
2012,Germany,Wind,244.8,99.8,48.43,333.2,11
2012,Germany,Solar,213.2,143.16,33.2,750.3,44
2013,Germany,Coal,313.5,65.07,40.47,76,819
2013,Germany,Natural Gas,238.7,68.12,20.83,27.2,486
2013,Germany,Oil & Gas,81.3,26.52,8.54,13.6,660
2013,Germany,Hydropower,42.3,12.71,11.52,12.4,4
2013,Germany,Nuclear,154.5,22.05,63.11,53.9,12
2013,Germany,Wind,280.2,114.24,53.62,409.6,11
2013,Germany,Solar,261.7,175.73,39.3,874.8,44
2014,Germany,Coal,314.7,65.32,40.62,79.8,805
2014,Germany,Natural Gas,237.4,67.75,20.28,28.4,490
2014,Germany,Oil & Gas,82.6,26.94,8.38,13.9,638
2014,Germany,Hydropower,42.9,12.89,10.94,12.8,4
2014,Germany,Nuclear,161.6,23.06,65.29,58.8,12
2014,Germany,Wind,300.7,122.59,57.74,446.6,11
2014,Germany,Solar,306.4,205.75,49.81,983.6,46
2015,Germany,Coal,317.5,65.9,39.39,79.9,821
2015,Germany,Natural Gas,240.6,68.66,20.8,27.7,493
2015,Germany,Oil & Gas,82.2,26.81,8.56,13.3,640
2015,Germany,Hydropower,43,12.92,11.6,13.2,4
2015,Germany,Nuclear,161.6,23.06,70,55.8,12
2015,Germany,Wind,345.9,141.02,62.38,486.1,11
2015,Germany,Solar,370.6,248.86,59.64,1199.8,44
2016,Germany,Coal,310.9,64.53,37.67,80.5,827
2016,Germany,Natural Gas,242.1,69.09,21.04,27.4,488
2016,Germany,Oil & Gas,82.1,26.78,8.45,13,666
2016,Germany,Hydropower,42.4,12.74,11.22,12.7,4
2016,Germany,Nuclear,161,22.97,67.29,54.7,12
2016,Germany,Wind,381.4,155.5,75.25,562.3,11
2016,Germany,Solar,488,327.69,79.7,1615.1,45
2017,Germany,Coal,292.4,60.69,36.97,70.9,816
2017,Germany,Natural Gas,238,67.92,20.18,25.9,492
2017,Germany,Oil & Gas,79.9,26.06,8.72,13.4,637
2017,Germany,Hydropower,43.5,13.07,11.46,12.7,4
2017,Germany,Nuclear,157.8,22.52,68.87,57.9,12
2017,Germany,Wind,460,187.54,84.66,679.4,11
2017,Germany,Solar,604,405.59,95.15,2095.1,45
2018,Germany,Coal,284.2,58.99,36.02,73.4,818
2018,Germany,Natural Gas,238.4,68.04,20.2,27.1,487
2018,Germany,Oil & Gas,82.9,27.04,8.58,13.9,656
2018,Germany,Hydropower,42.7,12.83,11.17,12.5,4
2018,Germany,Nuclear,161.7,23.07,65.9,59.7,12
2018,Germany,Wind,532.8,217.22,100.11,763.8,11
2018,Germany,Solar,799.5,536.87,129.21,2690.6,44
2019,Germany,Coal,276.5,57.39,35.04,70.6,837
2019,Germany,Natural Gas,247.7,70.69,20.13,28.8,494
2019,Germany,Oil & Gas,82.5,26.91,8.52,13.3,658
2019,Germany,Hydropower,44.3,13.31,11.69,12.7,4
2019,Germany,Nuclear,162.6,23.2,68.91,59.1,12
2019,Germany,Wind,600,244.62,114.39,831.5,11
2019,Germany,Solar,992.1,666.2,159.95,3283.6,46
2020,Germany,Coal,266.6,55.33,33.96,68.3,802
2020,Germany,Natural Gas,243.1,69.38,20.47,27,487
2020,Germany,Oil & Gas,80.1,26.13,8.32,13,651
2020,Germany,Hydropower,44.6,13.4,12.19,14,4
2020,Germany,Nuclear,164.3,23.44,70.65,57.2,12
2020,Germany,Wind,703.2,286.69,136.77,961.6,11
2020,Germany,Solar,1269.6,852.54,202.22,4352.9,45
2021,Germany,Coal,273.1,56.68,32.87,65.1,839
2021,Germany,Natural Gas,258.6,73.8,21.85,30.1,485
2021,Germany,Oil & Gas,79.9,26.06,8.46,12.7,637
2021,Germany,Hydropower,44.9,13.49,11.97,13.2,4
2021,Germany,Nuclear,159.5,22.76,65.16,54.6,12
2021,Germany,Wind,775.7,316.25,148.84,1073.5,11
2021,Germany,Solar,1598,1073.06,250.17,5393.6,44
2022,Germany,Coal,255.5,53.03,31.44,66.3,824
2022,Germany,Natural Gas,261.7,74.69,21.75,29.1,478
2022,Germany,Oil & Gas,81.9,26.71,8.29,13.3,657
2022,Germany,Hydropower,45.9,13.79,12.01,13.7,4
2022,Germany,Nuclear,158.4,22.6,66.61,55.2,12
2022,Germany,Wind,896.4,365.46,171.67,1242.2,11
2022,Germany,Solar,2093.7,1405.92,327.41,7026.7,45
2023,Germany,Coal,246.2,51.1,30.05,64,827
2023,Germany,Natural Gas,259.8,74.14,21.4,28.2,488
2023,Germany,Oil & Gas,79.4,25.9,8.05,12.4,662
2023,Germany,Hydropower,45.8,13.76,11.91,14.3,4
2023,Germany,Nuclear,157.3,22.45,67.28,54,12
2023,Germany,Wind,1043.4,425.39,193.65,1526.7,11
2023,Germany,Solar,2753.1,1848.71,441.82,8949.1,45
2024,Germany,Coal,242.4,50.31,31.55,61.2,822
2024,Germany,Natural Gas,266.3,76,21.81,30.6,493
2024,Germany,Oil & Gas,81.7,26.65,8.51,13.2,656
2024,Germany,Hydropower,44,13.22,11.09,13.2,4
2024,Germany,Nuclear,165.3,23.59,70.7,57.2,12
2024,Germany,Wind,1172.9,478.19,214.02,1665.5,11
2024,Germany,Solar,3393,2278.4,536.66,11909.5,46
2005,India,Coal,892.6,185.26,109.64,222.8,823
2005,India,Natural Gas,176.5,50.37,14.12,20.2,487
2005,India,Oil & Gas,152.3,49.67,15.57,24.5,651
2005,India,Hydropower,154.5,46.41,42.07,47.7,4
2005,India,Nuclear,49.8,7.11,20.33,17.9,12
2005,India,Wind,80.1,32.66,15.73,118.9,11
2005,India,Solar,15.1,10.14,2.28,49.2,44
2006,India,Coal,879.7,182.59,111.82,217.5,836
2006,India,Natural Gas,186.2,53.14,16.26,21.9,480
2006,India,Oil & Gas,150.4,49.05,15.85,23.7,646
2006,India,Hydropower,153,45.96,38.72,47.1,4
2006,India,Nuclear,51.7,7.38,20.74,18.8,12
2006,India,Wind,88.4,36.04,17.4,130.9,11
2006,India,Solar,18.3,12.29,2.91,61.4,44
2007,India,Coal,869.3,180.43,105.92,208,833
2007,India,Natural Gas,178.7,51,14.93,20.1,489
2007,India,Oil & Gas,147.1,47.98,14.82,24.4,661
2007,India,Hydropower,151.5,45.51,40.63,45.8,4
2007,India,Nuclear,50.4,7.19,21.76,17.6,12
2007,India,Wind,97.3,39.67,17.77,132.4,11
2007,India,Solar,22.2,14.91,3.54,77.8,46
2008,India,Coal,875.7,181.76,114.45,215.3,808
2008,India,Natural Gas,185.6,52.97,16.15,21.1,490
2008,India,Oil & Gas,151.9,49.54,16.56,23.7,648
2008,India,Hydropower,151.4,45.48,38.98,46.7,4
2008,India,Nuclear,49.7,7.09,21.81,18.6,12
2008,India,Wind,111.4,45.42,20.61,164.3,11
2008,India,Solar,26.4,17.73,3.99,87.8,46
2009,India,Coal,851.2,176.67,104.61,209.8,837
2009,India,Natural Gas,191.1,54.54,16.37,21,487
2009,India,Oil & Gas,149.5,48.76,16.08,23.9,659
2009,India,Hydropower,153.9,46.23,39.82,48.5,4
2009,India,Nuclear,50.2,7.16,20.29,18,12
2009,India,Wind,121.2,49.41,23.22,175.9,11
2009,India,Solar,30.7,20.62,4.91,104.1,45
2010,India,Coal,823.7,170.96,99.68,201.6,813
2010,India,Natural Gas,189.2,54,15.72,22.4,502
2010,India,Oil & Gas,148.9,48.56,15.07,23.2,650
2010,India,Hydropower,151.7,45.57,39.31,44.6,4
2010,India,Nuclear,50.9,7.26,21.31,17.5,12
2010,India,Wind,131.3,53.53,25.6,182.1,11
2010,India,Solar,37.7,25.32,5.85,131.8,46
2011,India,Coal,840.6,174.47,110.85,215.9,813
2011,India,Natural Gas,185.7,53,16.15,20.8,485
2011,India,Oil & Gas,150.9,49.22,15.38,25.2,661
2011,India,Hydropower,159.4,47.89,43.66,49,4
2011,India,Nuclear,50.8,7.25,21.26,18.9,12
2011,India,Wind,153.5,62.58,27.92,228.1,11
2011,India,Solar,44.2,29.68,6.72,148.4,45
2012,India,Coal,814.9,169.14,106.64,198.3,839
2012,India,Natural Gas,192,54.79,15.84,21,487
2012,India,Oil & Gas,155,50.55,16.94,26.5,635
2012,India,Hydropower,155.9,46.83,40.66,45,4
